name,id,tags,tech/manufacturer,rarity,base price,stack size,cargo space,baseRaidDanger,icon,sound id,sound id drop,plugin,plugin params,desc,order
Soil Nanites,soil_nanites,"hist3t, pather4, planet_search, colony_item, codex_unlockable",Eridani-Utopia Terraforming,,60000,1000,1,EXTREME,graphics/icons/cargo/soil_nanites.png,ui_cargo_special_industrial_pickup,ui_cargo_special_industrial_drop,com.fs.starfarer.api.campaign.impl.items.GenericSpecialItemPlugin,farming,"Enables soil enrichment and recovery at a rate far beyond that at which unaided natural processes perform. Domain Nanite Safety Regulation 4324, subsection 81 prohibits use on worlds with transplutonic ore or volatiles deposits, and unfortunately the built-in failsafe appears to be functional.",150
Biofactory Embryo,biofactory_embryo,"hist3t, pather4, planet_search, colony_item, codex_unlockable",Exodyne Biotech,,120000,1000,1,EXTREME,graphics/icons/cargo/biofactory_embryo.png,ui_cargo_special_biotech_pickup,ui_cargo_special_bio_drop,com.fs.starfarer.api.campaign.impl.items.GenericSpecialItemPlugin,lightindustry,"A dizzying array of consumer goods can be grown rather than manufactured. The fully-extruded biofactory only thrives in the delicate balance of sunlight, soil nutrients, and atmospheric conditions a habitable world can provide. Attempts to mimic these conditions in artificial environments always fail, causing the factory to sicken, presumably due to a genetically encoded failsafe.",155
Fullerene Spool,fullerene_spool,"hist3t, pather4, planet_search, colony_item, codex_unlockable",Fabrique Orbitale,,150000,1000,1,EXTREME,graphics/icons/cargo/fullerene_spool.png,ui_cargo_special_industrial_pickup,ui_cargo_special_industrial_drop,com.fs.starfarer.api.campaign.impl.items.GenericSpecialItemPlugin,"spaceport, megaport",An ultra-strong carbon nanomesh cable that is key to the construction of a space elevator. Greatly improves the efficiency of logistics between the surface of a planet and low orbit.,160
Plasma Dynamo,plasma_dynamo,"hist3t, pather4, planet_search, colony_item, codex_unlockable",Fabrique Orbitale,,100000,1000,1,EXTREME,graphics/icons/cargo/plasma_dynamo.png,ui_cargo_special_industrial_pickup,ui_cargo_special_industrial_drop,com.fs.starfarer.api.campaign.impl.items.GenericSpecialItemPlugin,mining,"The superconductor-flanged centerpiece of an industrial system which creates a planetary-scale plasma net that enables efficient, spectacular extraction of volatiles from the atmosphere of a suitable gas giant.",165
Cryoarithmetic Engine,cryoarithmetic_engine,"hist3t, pather4, planet_search, colony_item, codex_unlockable",Domain Restricted,,200000,1000,1,EXTREME,graphics/icons/cargo/cryoarithmetic_engine.png,ui_cargo_special_ultratech_pickup,ui_cargo_special_ultratech_drop,com.fs.starfarer.api.campaign.impl.items.GenericSpecialItemPlugin,"patrolhq, militarybase, highcommand","A quantum computer that violates the second law of thermodynamics by getting colder instead of hotter while performing computations.

A massive, planet-wide network of tendrils - ending in heatsinks - extrudes itself, using heat to fuel growth and continued computation. The hotter the planet surface, the more effective the computation engine. The unrivaled processing capacity is a boon to logistical and strategic planning.",170
Combat Drone Replicator,drone_replicator,"hist3t, pather4, colony_item, codex_unlockable",Ko Combine,,60000,1000,1,EXTREME,graphics/icons/cargo/combat_drone_replicator.png,ui_cargo_special_military_pickup,ui_cargo_special_military_drop,com.fs.starfarer.api.campaign.impl.items.GenericSpecialItemPlugin,"grounddefenses, heavybatteries","Mass-produces a number of drone variants, all suited to various tasks related to planetary defense against raids and invasions, as well as local security actions.

Its use was banned by the Domain many cycles prior to the Collapse, so it's surprising to find a working example in the Persean Sector.",175
Dealmaker Holosuite,dealmaker_holosuite,"hist3t, pather4, colony_item, codex_unlockable",Mbaye-Gogol,,120000,1000,1,EXTREME,graphics/icons/cargo/holosuite.png,ui_cargo_special_ultratech_pickup,ui_cargo_special_ultratech_drop,com.fs.starfarer.api.campaign.impl.items.GenericSpecialItemPlugin,commerce,"Generates an interactive environment designed to stimulate negotiations with prospective business partners. Additionally, the self-adapting microemotion smart sensor systems built into such high-end VR suites  allow real-time tracking of the veracity of expression, providing a technically ethical advantage in business dealings to the facility operator.  

The built-in marketing materials are keen to emphasize that this is not an AI, but merely a sophisticated weighted network in full compliance with the relevant Domain regulations.",180
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
# blueprints,,,,,,,,,,,,,,,
Low Tech Blueprint Package,low_tech_package,"package_bp, codex_unlockable",,,20000,1000,1,,graphics/icons/cargo/blueprint_lowtech.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,lowtech_bp,"Enables heavy industry to construct the more common ship hulls, weapons, and fighter LPCs from the ""low tech"" school of design.",200
Midline Blueprint Package,midline_package,"package_bp, codex_unlockable",,,25000,1000,1,,graphics/icons/cargo/blueprint_midline.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,midline_bp,"Enables heavy industry to construct the more common ship hulls, weapons, and fighter LPCs from the ""midline"" school of design.",210
High Tech Blueprint Package,high_tech_package,"package_bp, codex_unlockable",,,30000,1000,1,,graphics/icons/cargo/blueprint_hightech.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,hightech_bp,"Enables heavy industry to construct the more common ship hulls, weapons, and fighter LPCs from the ""high tech"" school of design.",220
Missile Blueprint Package,missile_package,"package_bp, codex_unlockable",,,20000,1000,1,,graphics/icons/cargo/blueprint_missile.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,missile_bp,Enables heavy industry to construct a range of the more common missile weapons.,230
Pirate Blueprint Package,pirate_package,"package_bp, codex_unlockable",,,15000,1000,1,,graphics/icons/cargo/blueprint_basic.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,pirate_bp,"A collection of hacks, after-market modification specs, and partially successful attempts at corrupted blueprint recovery. Enables heavy industry to construct the low quality but combat-capable hulls more commonly used by pirates and other undesirables.",240
Luddic Path Blueprint Package,LP_package,"package_bp, codex_unlockable",,,18000,1000,1,,graphics/icons/cargo/blueprint_basic.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,LP_bp,A collection of hacks and after-market modification specs that enables heavy industry to construct the hulls more commonly used by members of the Luddic Path.,250
Luddic Church Blueprint Package,LC_package,"package_bp, codex_unlockable",,,15000,1000,1,,graphics/icons/cargo/blueprint_basic.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,LC_bp,"A collection of hacks and after-market modification specs that enables heavy industry to construct hulls bearing Luddic Church markings. Since the modifications are cosmetic in nature, the hulls produced are otherwise pristine.",260
XIV Battlegroup Blueprint Package,XIV_package,"package_bp, no_drop, hide_in_codex",,,1000000,1000,1,,graphics/icons/cargo/blueprint_basic.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,XIV_bp,A set of blueprints that enable heavy industry to produce the near-legendary hulls employed by the Hegemony-founding XIV Battlegroup. The continued existence - and location - of these blueprints is subject of many rumors.,270
Hegemony Auxiliary Blueprints,heg_aux_package,"package_bp, codex_unlockable",,,20000,1000,1,,graphics/icons/cargo/blueprint_basic.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,heg_aux_bp,"A collection of modified blueprints that bring several civilian craft up to mil-spec or simply add Hegemony markings. Created shortly after the Collapse, some of these blueprints improve hull performance without the increased incidence of d-mods associated with later blueprint hacking efforts.",280
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Base Ship Blueprint,ship_bp,single_bp,,,10000,1000,1,,graphics/icons/cargo/blueprint_shiphull.png,ui_chip_pickup,ui_ship_bp_drop,com.fs.starfarer.api.campaign.impl.items.ShipBlueprintItemPlugin,,Enables heavy industry to construct ship hulls described by this blueprint.,300
Base Weapon Blueprint,weapon_bp,single_bp,,,2000,1000,1,,graphics/icons/cargo/blueprint_weapons.png,ui_chip_pickup,ui_weapon_bp_drop,com.fs.starfarer.api.campaign.impl.items.WeaponBlueprintItemPlugin,,Enables heavy industry to construct ship weapons described by this blueprint.,310
Base Fighter Blueprint,fighter_bp,single_bp,,,3000,1000,1,,graphics/icons/cargo/blueprint_fighter.png,ui_chip_pickup,ui_fighter_bp_drop,com.fs.starfarer.api.campaign.impl.items.FighterBlueprintItemPlugin,,Enables heavy industry to construct fighter LPCs described by this blueprint.,320
,,,,,,,,,,,,,,,
Base Industry Blueprint,industry_bp,,,,20000,1000,1,,graphics/icons/cargo/blueprint_industry.png,ui_chip_pickup,ui_industry_bp_drop,com.fs.starfarer.api.campaign.impl.items.IndustryBlueprintItemPlugin,,Contains the technological specifications needed to construct a planet-side industry or structure.,400
,,,,,,,,,,,,,,,
# other items,,,,,,,,,,,,,,,
Janus Device,janus,"mission_item, codex_unlockable",,,100000,1000,1,,graphics/icons/cargo/janus_device.png,ui_cargo_special_ultratech_pickup,ui_cargo_special_ultratech_drop,com.fs.starfarer.api.campaign.impl.items.JanusDevicePlugin,,"This is the first generation Janus Device created by Elissa Zal based on the theories developed by Scylla Coureuse, among others.

While integrated with a hyperdrive this device allows a hyperwave pulse tuned to the unique resonant signatures of two Gates to be transmitted into a Gate aperture. After a tremendous energy input which requires a great quantity of fuel to generate, a temporary link between those Gates is created. One ship or fleet may then transit the Gate network.",0
Planetkiller,planetkiller,"mission_item, codex_unlockable",Domain Restricted,,1000000,1000,1,,graphics/icons/cargo/planetkiller.png,ui_cargo_special_military_pickup,ui_cargo_special_military_drop,com.fs.starfarer.api.campaign.impl.items.BaseSpecialItemPlugin,,"A specialized warhead capable of sundering a world. Operating principles are only dimly understood and are thought to involve utilizing the world's spin and some form of resonance.

This one is safed and requires authorization codes, possibly long-lost, to become anything more than a complicated, but completely inert piece of machinery.",10
Topographic Data,topographic_data,codex_unlockable,,,50000,1000,1,,graphics/icons/cargo/hyperspace_data.png,ui_chip_pickup,ui_modspec_drop,com.fs.starfarer.api.campaign.impl.items.BaseSpecialItemPlugin,,"This secure TriPad contains a recent database which holds detailed scans and analyses of the hyperspace topography in the Persean Sector, organized according to traditional guidelines set by the Domain Explorarium. Data such as this is an essential element to successful expeditions outside the core worlds.",500
Wormhole Anchor,wormhole_anchor,codex_unlockable,Domain Restricted,,150000,1000,1,,graphics/icons/cargo/wormhole_anchor.png,ui_cargo_special_industrial_pickup,ui_cargo_special_industrial_drop,com.fs.starfarer.api.campaign.impl.items.WormholeAnchorPlugin,,"Unfamiliar to the contemporary Persean Sector, this technology saw use by the Domain Explorarium during an era of greatness long past. Can be used to create a wormhole terminus at a stable location.

Initial activation requires antimatter in the form of starship fuel. Requires at least one other active and synchronized terminus to use.",1
Wormhole Scanner,wormhole_scanner,"mission_item, codex_unlockable",Domain Restricted,,100000,1000,1,,graphics/icons/cargo/wormhole_scanner.png,ui_cargo_special_ultratech_pickup,ui_cargo_special_ultratech_drop,com.fs.starfarer.api.campaign.impl.items.WormholeScannerPlugin,,"A Domain-era artifact which allows a fleet to navigate a natural wormhole, following its many twists, turns, and shifts through higher dimensions. A fleet entering a wormhole without a scanner would never be seen again, at least not as a coherent collection of baryonic matter.

The operating principles can only be dimly guessed at given the present state-of-the-art in the Persean Sector.",2
Fragment Fabricator,fragment_fabricator,"threat, codex_unlockable",Threat,,20000,1000,1,,graphics/icons/cargo/fragment_fabricator.png,ui_cargo_special_industrial_pickup,ui_cargo_special_industrial_drop,com.fs.starfarer.api.campaign.impl.items.BaseSpecialItemPlugin,,"Unfamiliar technology which nonetheless shares design principles with ancient Domain engineering standards. Various self-modifying adapters accept energy and forge-stock input. There is no command interface. Attempts to interfere with workings provoke aggressive cannibalizing self-repair mechanisms; a major attempt to dismantle the unit would risk self-destruction.

This is clearly a fabricator, because when the inputs are fed, it produces Fragment units, each of which is formed of a unique arrangement of fractal components but which is functionally similar, with slight allowance for scale. Simple on an individual level, the fragments exhibit sophisticated emergent behavior in groups.",400
Threat Processing Unit,threat_processing_unit,"threat, codex_unlockable",Threat,,15000,1000,1,,graphics/icons/cargo/threat_processing_unit.png,ui_cargo_special_industrial_pickup,ui_cargo_special_industrial_drop,com.fs.starfarer.api.campaign.impl.items.BaseSpecialItemPlugin,,"A basic, modular computational unit. These seem to be employed in large numbers to support the various functions of Threat vessels. Not fully understood, but clearly well below the threshold for being considered an artificial intelligence of any level.",401
Shrouded Substrate,shrouded_substrate,"monster, codex_unlockable",Shrouded Dweller,,5000,1000,1,,graphics/icons/cargo/shrouded_substrate.png,ui_cargo_special_biotech_pickup,ui_cargo_special_bio_drop,com.fs.starfarer.api.campaign.impl.items.ShroudedSubstratePlugin,,"Anomalous exotic matter held in semi-stable stasis using makeshift containment units. It is recommended to employ hazardous material handling protocols class 6, 7, 9, and 13. Cursory investigation suggests applications in energy projection.",450
Shrouded Thunderhead,shrouded_thunderhead,"monster, codex_unlockable",Shrouded Dweller,,30000,1000,1,,graphics/icons/cargo/shrouded_thunderhead.png,ui_cargo_special_biotech_pickup,ui_cargo_special_bio_drop,com.fs.starfarer.api.campaign.impl.items.ShroudedHullmodItemPlugin,shrouded_thunderhead,"""This self-sustaining action produces massive energy differentials which are periodically discharged toward its, um, target. I'd never have said a storm could be evil, but now...""

- intercepted audio log, speaker unknown",451
Shrouded Mantle,shrouded_mantle,"monster, codex_unlockable",Shrouded Dweller,,50000,1000,1,,graphics/icons/cargo/shrouded_mantle.png,ui_cargo_special_biotech_pickup,ui_cargo_special_bio_drop,com.fs.starfarer.api.campaign.impl.items.ShroudedHullmodItemPlugin,shrouded_mantle,"""We can't store energy forever in this theoretical, pretend-plasma. It'll have to go somewhere.""

""-Invert the polarity of the flux converters and flicker the drive field. Boom, a gentle bump to local time-space. By which I mean the ship itself.""

""If it works.""",452
Shrouded Lens,shrouded_lens,"monster, codex_unlockable",Shrouded Dweller,,30000,1000,1,,graphics/icons/cargo/shrouded_lens.png,ui_cargo_special_biotech_pickup,ui_cargo_special_bio_drop,com.fs.starfarer.api.campaign.impl.items.ShroudedHullmodItemPlugin,shrouded_lens,"""Spin it up during combat maneuvers, adjusting the frequency of the 'probes' adapted from drive-field stabilizers. It would create hyperspace fractures which would cause terrible damage to n-space structures. Starships, for instance.""",453
