LDC,Class,951cn,cls
"""Defending ships are present in sufficient strength to prevent any hostile action until they are dealt with.""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""防御舰队将阻止任何敌对行动,}必须摧毁它们,}你才能执行下一步行动.""",x
"""Defending ships are present, but not in sufficient strength to want to give battle or prevent any hostile action you might take.""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""尽管附近有防御舰队的存在,}但它们没有足够的能力与你交战并阻止你可能 采取的任何敌对行动.""",x
"""Engage the defenders""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""攻击防御舰队""",x
"""Engage the defenders""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""攻击防御舰队""",x
"""Aid the """,com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""帮助该 """,x
""" and its defenders""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,""" 以及它的防御舰队""",x
"""Aid the """,com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""帮助该 """,x
"""Aid the defenders""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""援助防御舰队""",x
"""Aid the attacking forces""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""协助进攻部队""",x
"""Engage the """,com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""攻击 """,x
""" and its defenders""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,""" 以及它的防御舰队""",x
"""Engage the """,com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""攻击 """,x
"""Engage the defenders""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""攻击防御舰队""",x
"""Launch a raid against """,com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""准备突袭 """,x
"""Consider an orbital bombardment of """,com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""准备轨道轰炸 """,x
"""The presence of enemy fleets that are willing to offer battle makes a raid impossible.""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""目标附近存在敌方舰队, 导致无法进行突袭.""",x
"""All defenses must be defeated to make a bombardment possible.""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""想要执行轨道轰炸, 就必须摧毁所有防御设施.""",x
"""Your forces will be able to organize another raid within a day or so.""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""你的部队需整顿一天的时间, 才能重新组织另一次突袭.""",x
"""Your forces will be able to organize another raid within a day or so.""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""你的部队需整顿一天的时间, 才能重新组织另一次突袭.""",x
"""The """,com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""该 """,x
""" not currently hostile, and you have been positively identified. """,com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""目前还没有敌意, 并且你的身份已被对方知晓. """,x
"""Are you sure you want to engage in open hostilities?""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""你确定要与其公开敌对吗?""",x
"""Yes""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""是的""",x
"""Never mind""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""放弃""",x
"""The attackers are in disarray and not currently attempting to engage the station.""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""由于袭击者自乱阵脚,}所以目前未与空间站进行交战.""",x
"""You're unable to join this battle.""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""你无法参加这次战斗.""",x
"""There are no defenders to engage.""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""没有可参与战斗的守军.""",x
"""The defenders are refusing to give battle to defend the colony.""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""守军拒绝为保卫殖民地而献身战斗.""",x
"""Go back""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""返回""",x
"""Marines on board""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""待命中的陆战队员""",x
"""Fleet capability for ground support""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""舰队地面支援能力""",x
"""Expected resistance""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""预计阻力""",x
"""Increased defender preparedness""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""提高防御能力""",x
""" not currently hostile. Your fleet's transponder is on, and carrying out a raid """,com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""目前还没有敌意, 但由于你的舰队应答器处于开启状态, """,x
"""will result in open hostilities.""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""所以此时发动突袭将意味着公开交战.""",x
""" not currently hostile. Your fleet's transponder is off, and carrying out a raid """,com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""目前还没有敌意, 但由于你的舰队应答器处于关闭状态, """,x
"""will only result in a minor penalty to your standing.""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""所以此时发动突袭只会对你的声誉造成轻微的惩罚.""",x
"""Raid strength: %s""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""突袭战力: %s""",x
"""Operation difficulty: %s""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""行动难度: %s""",x
"""Projected raid effectiveness: %s""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""预计突袭效果: %s""",x
"""You do not have the forces to carry out an effective raid.""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""你没有足够的战力进行突袭.""",x
"""Go back""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""返回""",x
"""Marines on board""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""待命中的陆战队员""",x
"""Fleet capability for ground support""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""舰队地面支援能力""",x
"""Increased defender preparedness""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""提高防御能力""",x
""" not currently hostile. Your fleet's transponder is on, and carrying out a raid """,com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""目前还没有敌意, 但由于你的舰队应答器处于开启状态, """,x
"""will result in open hostilities.""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""所以此时发动突袭将意味着公开交战.""",x
""" not currently hostile. Your fleet's transponder is off, and carrying out a raid """,com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""目前还没有敌意, 但由于你的舰队应答器处于关闭状态, """,x
"""will only result in a minor penalty to your standing.""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""所以此时发动突袭只会对你的声誉造成轻微的惩罚.""",x
"""Raid strength: %s""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""突袭战力: %s""",x
"""Ground defense strength: %s""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""地面防御战力: %s""",x
"""Projected raid effectiveness: %s""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""预计突袭效果: %s""",x
"""The ground defenses are too strong for your forces to be able to cause long-term disruption.""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""由于目标地面防御过于强大,}致你的部队无法造成有效破坏.""",x
"""You do not have the forces to carry out an effective raid to acquire valuables or achieve other objectives.""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""你没有足够的战力来掠夺贵重物品或达成其他目标.""",x
"""Try to acquire valuables, such as commodities or blueprints, or achieve other objectives""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""试图掠夺贵重物品,}如大宗商品、蓝图或达成其他目标""",x
"""Disrupt the operations of a specific industry or facility""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""瘫痪特定工业设施以及其他设施的正常运作""",x
"""Requires at least """,com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""突袭效果至少需要 """,x
""" raid effectiveness.""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,""" 以上才能进行突袭.""",x
"""Go back""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""返回""",x
"""After careful consideration, there do not appear to be any targets likely to yield anything of value.""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""经过仔细考虑,}似乎没有任何有价值的目标是值得破坏的.""",x
"""Select raid objectives""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""选择突袭目标""",x
"""Select""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""准备""",x
"""Launch bombardment""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""开始轰炸""",x
"""Never mind""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""放弃""",x
"""The """,com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""该 """,x
""" not currently hostile, and will become hostile if you carry out the bombardment. """,com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""目前还没有敌意, 如果实施轨道轰炸, 将意味着与其公开交战. """,x
"""Are you sure?""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""你确定吗?""",x
"""Yes""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""是的""",x
"""Never mind""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""放弃""",x
"""Multiple factions that are not currently hostile will become hostile if you carry out the bombardment. Are you sure?""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""如果进行饱和轰炸, 那些目前与你处于非敌对下的多个势力将会立即与你决裂. 你确定吗?""",x
"""Yes""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""是的""",x
"""Never mind""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""放弃""",x
"""There are no industries or facilities present that could be disrupted by a raid.""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""目前没有工业设施与其他设施会被突袭所破坏.""",x
"""Select raid objectives""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""选择突袭目标""",x
"""Select""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""准备""",x
"""Target: """,com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""目标: """,x
""" operations are already disrupted, and a raid will have """,com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,""" 由于目标当地设施已被瘫痪, 导致本次突袭行动的效果""",x
"""reduced effect.""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""遭到减弱.""",x
"""Your ground forces commander estimates that given the relative force strengths, the raid should disrupt all """,com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""根据地面部队指挥官的估计, 考虑到双方战力的强度, 本次突袭应该会让 """,x
""" operations for at least %s days.""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,""" 瘫痪至少 %s 天.""",x
"""Your forces are ready to go, awaiting your final confirmation.""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""你的部队已经准备就绪, 正等待你下达最后指令.""",x
"""Never mind""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""放弃""",x
"""Never mind""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""放弃""",x
"""Continue""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""继续""",x
"""Danger level of objectives""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""目标的危险程度""",x
"""Colony hazard rating""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""殖民地危险等级""",x
"""High raid effectiveness""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""较高的突袭效率""",x
"""Low raid effectiveness""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""较低的突袭效率""",x
"""Forces held in reserve""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""待命的预备部队""",x
"""Increased defender preparedness""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""提高防御能力""",x
"""Recently raided""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""近期遭到突袭""",x
""" raid""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,""" 突袭""",x
"""Your forces have not suffered any casualties.""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""你的部队没有任何伤亡.""",x
"""You forces have suffered casualties during the raid.""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""你的部队在突袭中的伤亡报告.""",x
"""Stability of """,com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""该 """,x
""" reduced by %s.""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,""" 的稳定性降低了 %s 点.""",x
"""Continue""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""继续""",x
"""Pick through the spoils""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""挑选战利品""",x
"""Spoils""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""战利品""",x
"""The """,com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""该 """,x
""" has suffered extensive damage and is not currently combat-capable.""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,""" 由于遭受了大幅度的破坏, 目前已经完全丧失了战斗能力.""",x
"""The """,com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""该 """,x
""" is under construction and is not currently combat-capable.""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,""" 由于目前正处于建设当中, 因此没有任何战斗能力.""",x
"""Continue""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""继续""",x
"""Specialized fleet bombardment capability""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""遭到特遣队轰炸""",x
""" not currently hostile. A bombardment is a major enough hostile action that it can't be concealed, """,com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,""" 目前还没有敌意, 如果现在展开声势浩大的轨道轰炸, 无论你的应答器 处于何种状态, """,x
"""regardless of transponder status.""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""都将无法掩盖你所实施的暴行.""",x
"""Starship fuel can be easily destabilized, unlocking the destructive potential of the antimatter it contains. Ground defenses can counter a bombardment, though in practice it only means that more fuel is required to achieve the same result.""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,#VALUE!,x
"""Effective ground defense strength: %s""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""有效的地面防御战力: %s""",x
"""Ground defense strength: %s""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""地面防御战力: %s""",x
"""A bombardment requires %s fuel. You have %s fuel.""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""轰炸需要 %s 单位的燃料. 而你现有 %s 单位的燃料.""",x
"""Prepare a tactical bombardment""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""准备战术轰炸""",x
"""Prepare a saturation bombardment""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""准备饱和轰炸""",x
"""Not enough fuel.""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""没有足够的燃料.""",x
"""Not enough fuel.""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""没有足够的燃料.""",x
"""Go back""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""返回""",x
"""Launch raid""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""开始突袭""",x
"""Make special efforts to keep your preparations secret, then proceed""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""保证匿名的情况下完成任务""",x
"""Suffer no penalty to your standing with """,com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""如果来此突袭的舰队未被巡逻队逮到或没有打开应答器的话,}那本次行动将不会影响你与}""",x
""". """,com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,""" 间""",x
"""Will not help if forced to turn your transponder on by patrols arriving to investigate the raid.""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""的关系.""",x
"""Secretly raided """,com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""秘密突袭 """,x
"""Never mind""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""放弃""",x
"""The """,com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""该 """,x
""" not currently hostile, and you have been positively identified. """,com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""目前还没有敌意, 并且你的身份已被对方知晓. """,x
"""Are you sure you want to engage in open hostilities?""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""你确定要与其公开敌对吗?""",x
"""Yes""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""是的""",x
"""Never mind""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""放弃""",x
""" does not have any undisrupted military targets that would be affected by a tactical bombardment.""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,""" 没有可供瘫痪的军用设施.""",x
"""A tactical bombardment will destabilize the colony, and will also disrupt the following military targets for approximately %s days:""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""战术轰炸不仅会破坏殖民地的稳定, 还会瘫痪以下军事目标约 %s 天:""",x
"""The bombardment requires %s fuel. You have %s fuel.""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""轰炸需要 %s 单位的燃料. 而你有 %s 单位的燃料.""",x
"""A saturation bombardment of a colony this size will destroy it utterly.""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""如果对这种规模的殖民地进行饱和轰炸将会彻底摧毁它.""",x
"""A saturation bombardment will destabilize the colony, reduce its population, and disrupt all operations for a long time.""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""饱和轰炸不仅会大幅度破坏殖民地的稳定, 还会降低其人口, 并让所有 设施长期处于瘫痪状态.""",x
"""An atrocity of this scale can not be hidden, but any factions that would be dismayed by such actions are already hostile to you.""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""这种规模的暴行是无法隐藏的,}所以任何对这种行动感到震怒的势力将开始对你抱有敌意.""",x
"""An atrocity of this scale can not be hidden, and will make the following factions hostile:""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""这种规模的暴行是无法隐藏的, 所以这会让下列势力立即与你敌对:""",x
"""The bombardment requires %s fuel. You have %s fuel.""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""轰炸需要 %s 单位的燃料. 而你有 %s 单位的燃料.""",x
"""Recently bombarded""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""近期遭到轰炸""",x
""" bombardment""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,""" 轰炸""",x
"""Stability of """,com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""该 """,x
