LDC,Class,LDC_96CN,RAW_96CN,note
"""Custom""",com/fs/starfarer/loading/ShipHullSpecLoader,"""客制""","com/fs/starfarer/loading/ShipHullSpecLoader.new - String - ""客制""",
"""<missing hull name>""",com/fs/starfarer/loading/ShipHullSpecLoader,"""<missing hull name>""","com/fs/starfarer/loading/ShipHullSpecLoader.o00000 - String - ""<missing hull name>""",
"""No message selected""",com/fs/starfarer/campaign/comms/E,"""未选择消息""","com/fs/starfarer/campaign/comms/class.return.float - String - ""未选择消息""",
"""From: """,com/fs/starfarer/campaign/comms/E,"""来自：""","com/fs/starfarer/campaign/comms/class.return.float - String - ""来自：""",
""" star system)""",com/fs/starfarer/campaign/comms/E,""" 星系) ""","com/fs/starfarer/campaign/comms/class.return.float - String - "" 星系) """,
"""Show messages and events for the last...""",com/fs/starfarer/campaign/comms/J,"""显示过去的消息和事件...""","com/fs/starfarer/campaign/comms/O0oO.sizeChanged - String - ""显示过去的消息和事件...""",
"""Message categories""",com/fs/starfarer/campaign/comms/J,"""消息类别""","com/fs/starfarer/campaign/comms/O0oO.sizeChanged - String - ""消息类别""",
"""Week""",com/fs/starfarer/campaign/comms/J,"""周""","com/fs/starfarer/campaign/comms/O0oO.sizeChanged - String - ""周""",
"""Month""",com/fs/starfarer/campaign/comms/J,"""月""","com/fs/starfarer/campaign/comms/O0oO.sizeChanged - String - ""月""",
"""Cycle""",com/fs/starfarer/campaign/comms/J,"""年""","com/fs/starfarer/campaign/comms/O0oO.sizeChanged - String - ""年""",
"""Show finished events/missions""",com/fs/starfarer/campaign/comms/J,"""显示完成的事件/任务""","com/fs/starfarer/campaign/comms/O0oO.sizeChanged - String - ""显示完成的事件/任务""",
"""Only last message/event/system""",com/fs/starfarer/campaign/comms/J,"""只有最后一条消息/事件/星系""","com/fs/starfarer/campaign/comms/O0oO.sizeChanged - String - ""只有最后一条消息/事件/星系""",
"""No message selected""",com/fs/starfarer/campaign/comms/N,"""未选择消息""","com/fs/starfarer/campaign/comms/Oo0O.ÒÓO000 - String - ""未选择消息""",
"""From: """,com/fs/starfarer/campaign/comms/N,"""来自：""","com/fs/starfarer/campaign/comms/Oo0O.ÒÓO000 - String - ""来自：""",
""" star system)""",com/fs/starfarer/campaign/comms/N,""" 星系) ""","com/fs/starfarer/campaign/comms/Oo0O.ÒÓO000 - String - "" 星系) """,
"""Time received:""",com/fs/starfarer/campaign/comms/N,"""接收时间：""","com/fs/starfarer/campaign/comms/Oo0O.ÒÓO000 - String - ""接收时间：""",
"""Time sent:""",com/fs/starfarer/campaign/comms/N,"""发送时间：""","com/fs/starfarer/campaign/comms/Oo0O.ÒÓO000 - String - ""发送时间：""",
"""Delivered by:""",com/fs/starfarer/campaign/comms/N,"""通过交付：""","com/fs/starfarer/campaign/comms/Oo0O.ÒÓO000 - String - ""通过交付：""",
"""Type:""",com/fs/starfarer/campaign/comms/N,"""类型：""","com/fs/starfarer/campaign/comms/Oo0O.ÒÓO000 - String - ""类型：""",
"""Type:""",com/fs/starfarer/campaign/comms/N,"""类型：""","com/fs/starfarer/campaign/comms/Oo0O.ÒÓO000 - String - ""类型：""",
"""Location:""",com/fs/starfarer/campaign/comms/N,"""位置：""","com/fs/starfarer/campaign/comms/Oo0O.ÒÓO000 - String - ""位置：""",
"""Location:""",com/fs/starfarer/campaign/comms/N,"""位置：""","com/fs/starfarer/campaign/comms/Oo0O.ÒÓO000 - String - ""位置：""",
"""via """,com/fs/starfarer/campaign/comms/N,"""通过 ""","com/fs/starfarer/campaign/comms/Oo0O.ÒÓO000 - String - ""通过 """,
"""Date:""",com/fs/starfarer/campaign/comms/N,"""日期：""","com/fs/starfarer/campaign/comms/Oo0O.ÒÓO000 - String - ""日期：""",
""", """,com/fs/starfarer/campaign/comms/N,""", ""","com/fs/starfarer/campaign/comms/Oo0O.ÒÓO000 - String - "", """,英文符号修正
"""Date:""",com/fs/starfarer/campaign/comms/N,"""日期：""","com/fs/starfarer/campaign/comms/Oo0O.ÒÓO000 - String - ""日期：""",
"""Stability""",com/fs/starfarer/campaign/ui/o0oO,"""稳定性""","com/fs/starfarer/campaign/ui/float.sizeChanged - String - ""稳定性""",
"""Production cost.""",com/fs/starfarer/campaign/command/FighterBlueprintBrowser$1,"""生产成本。""","com/fs/starfarer/campaign/command/FighterBlueprintBrowser$1.createImpl - String - ""生产成本。""",
"""Current:""",com/fs/starfarer/coreui/refit/ManageVariantsDialog,"""当前装配方案：""","com/fs/starfarer/coreui/refit/ManageVariantsDialog.<init> - String - ""当前装配方案：""",
"""Available """,com/fs/starfarer/coreui/refit/ManageVariantsDialog,"""可得到 ""","com/fs/starfarer/coreui/refit/ManageVariantsDialog.<init> - String - ""可得到 """,
""" variants""",com/fs/starfarer/coreui/refit/ManageVariantsDialog,""" 装配方案""","com/fs/starfarer/coreui/refit/ManageVariantsDialog.<init> - String - "" 装配方案""",
"""Export Current """,com/fs/starfarer/coreui/refit/ManageVariantsDialog,"""保存当前配置 ""","com/fs/starfarer/coreui/refit/ManageVariantsDialog.<init> - String - ""保存当前配置 """,
"""Cancel""",com/fs/starfarer/coreui/refit/ManageVariantsDialog,"""取消""","com/fs/starfarer/coreui/refit/ManageVariantsDialog.<init> - String - ""取消""",
"""Enter new variant name""",com/fs/starfarer/coreui/refit/ManageVariantsDialog,"""命名新的装配方案""","com/fs/starfarer/coreui/refit/ManageVariantsDialog.actionPerformed - String - ""命名新的装配方案""",
"""Yes""",com/fs/starfarer/coreui/refit/ManageVariantsDialog,"""是""","com/fs/starfarer/coreui/refit/ManageVariantsDialog.actionPerformed - String - ""是""",
"""No""",com/fs/starfarer/coreui/refit/ManageVariantsDialog,"""不""","com/fs/starfarer/coreui/refit/ManageVariantsDialog.actionPerformed - String - ""不""",
""" class""",com/fs/starfarer/loading/specs/privatesuper,""" 级""","com/fs/starfarer/loading/specs/g.getHullNameWithDashClass - String - "" 级""",
"""-class""",com/fs/starfarer/loading/specs/privatesuper,"""-级""","com/fs/starfarer/loading/specs/g.getHullNameWithDashClass - String - ""-级""",
""" class """,com/fs/starfarer/loading/specs/privatesuper,""" 级 ""","com/fs/starfarer/loading/specs/g.getNameWithDesignationWithDashClass - String - "" 级 """,
"""-class """,com/fs/starfarer/loading/specs/privatesuper,"""-级 ""","com/fs/starfarer/loading/specs/g.getNameWithDesignationWithDashClass - String - ""-级 """,
""" Initializing Domain Ident Chip """,com/fs/starfarer/campaign/save/OoOO,""" 正在初始化人之领身份芯片 ""","com/fs/starfarer/campaign/save/new.<init> - String - "" 正在初始化人之领身份芯片 """,
"""Generate""",com/fs/starfarer/campaign/save/OoOO,"""随机命名""","com/fs/starfarer/campaign/save/new.<init> - String - ""随机命名""",
"""Initializing Domain Ident Chip""",com/fs/starfarer/campaign/save/OoOO,"""初始化识别芯片""","com/fs/starfarer/campaign/save/new.<init> - String - ""初始化识别芯片""",
"""Name: """,com/fs/starfarer/campaign/save/OoOO,"""名字：""","com/fs/starfarer/campaign/save/new.<init> - String - ""名字：""",
"""Honorific: """,com/fs/starfarer/campaign/save/OoOO,"""尊称: ""","com/fs/starfarer/campaign/save/new.<init> - String - ""尊称: """,
"""Iron mode""",com/fs/starfarer/campaign/save/OoOO,"""铁人模式""","com/fs/starfarer/campaign/save/new.<init> - String - ""铁人模式""",
"""Help popups""",com/fs/starfarer/campaign/save/OoOO,"""帮助窗口""","com/fs/starfarer/campaign/save/new.<init> - String - ""帮助窗口""",
"""Pick Random""",com/fs/starfarer/campaign/save/OoOO,"""随机选择""","com/fs/starfarer/campaign/save/new.<init> - String - ""随机选择""",
"""Copy""",com/fs/starfarer/campaign/save/OoOO,"""复制""","com/fs/starfarer/campaign/save/new.<init> - String - ""复制""",
"""Paste""",com/fs/starfarer/campaign/save/OoOO,"""粘贴""","com/fs/starfarer/campaign/save/new.<init> - String - ""粘贴""",
"""Sector of origin""",com/fs/starfarer/campaign/save/OoOO,"""星域的起源""","com/fs/starfarer/campaign/save/new.<init> - String - ""星域的起源""",
"""Old""",com/fs/starfarer/campaign/save/OoOO,"""古老""","com/fs/starfarer/campaign/save/new.<init> - String - ""古老""",
"""Average""",com/fs/starfarer/campaign/save/OoOO,"""中年""","com/fs/starfarer/campaign/save/new.<init> - String - ""中年""",
"""Young""",com/fs/starfarer/campaign/save/OoOO,"""年轻""","com/fs/starfarer/campaign/save/new.<init> - String - ""年轻""",
"""Mixed""",com/fs/starfarer/campaign/save/OoOO,"""混合""","com/fs/starfarer/campaign/save/new.<init> - String - ""混合""",
"""Small""",com/fs/starfarer/campaign/save/OoOO,"""小型""","com/fs/starfarer/campaign/save/new.<init> - String - ""小型""",
"""Normal""",com/fs/starfarer/campaign/save/OoOO,"""正常""","com/fs/starfarer/campaign/save/new.<init> - String - ""正常""",
"""Sector Age""",com/fs/starfarer/campaign/save/OoOO,"""星域的年龄""","com/fs/starfarer/campaign/save/new.<init> - String - ""星域的年龄""",
"""Sector Size""",com/fs/starfarer/campaign/save/OoOO,"""星域的规模""","com/fs/starfarer/campaign/save/new.<init> - String - ""星域的规模""",
"""Domain sector registry ID: """,com/fs/starfarer/campaign/save/OoOO,"""星域与星系种子 ID: ""","com/fs/starfarer/campaign/save/new.<init> - String - ""星域与星系种子 ID: """,
"""Hotter stars, more planets, more mineral resources. Fewer habitable worlds.""",com/fs/starfarer/campaign/save/OoOO,"""炙热的恒星，更多的行星，更多的矿物资源。更少的可居住星球。""","com/fs/starfarer/campaign/save/new.<init> - String - ""炙热的恒星，更多的行星，更多的矿物资源。更少的可居住星球。""",
"""More balanced mix of stars and planets.""",com/fs/starfarer/campaign/save/OoOO,"""恒星和行星的组成数量将更加平衡。""","com/fs/starfarer/campaign/save/new.<init> - String - ""恒星和行星的组成数量将更加平衡。""",
"""Cooler stars, fewer planets, less minerals. More habitable worlds.""",com/fs/starfarer/campaign/save/OoOO,"""冷寂的恒星，更少的行星，更少的矿物资源。更多的可居住星球。""","com/fs/starfarer/campaign/save/new.<init> - String - ""冷寂的恒星，更少的行星，更少的矿物资源。更多的可居住星球。""",
"""Different constellations may have different ages.""",com/fs/starfarer/campaign/save/OoOO,"""不同的星座可能有不同的年龄。""","com/fs/starfarer/campaign/save/new.<init> - String - ""不同的星座可能有不同的年龄。""",
"""Around 50% fewer star systems compared to normal.""",com/fs/starfarer/campaign/save/OoOO,"""与正常相比，星系数量降低了约 50%.""","com/fs/starfarer/campaign/save/new.<init> - String - ""与正常相比，星系数量降低了约 50%.""",
"""Normal amount of star systems.""",com/fs/starfarer/campaign/save/OoOO,"""正常数量的星系。""","com/fs/starfarer/campaign/save/new.<init> - String - ""正常数量的星系。""",
"""luddic: walker""",com/fs/starfarer/campaign/save/OoOO,"""卢德敬称: 修行者""","com/fs/starfarer/campaign/save/new.advanceImpl - String - ""卢德敬称: 修行者""",
"""luddic: brother""",com/fs/starfarer/campaign/save/OoOO,"""卢德敬称: 修士""","com/fs/starfarer/campaign/save/new.advanceImpl - String - ""卢德敬称: 修士""",
"""luddic: sister""",com/fs/starfarer/campaign/save/OoOO,"""卢德敬称: 修女""","com/fs/starfarer/campaign/save/new.advanceImpl - String - ""卢德敬称: 修女""",
""" Sector Data """,com/fs/starfarer/campaign/save/OoOO,""" 星域数据 ""","com/fs/starfarer/campaign/save/new.advanceImpl - String - "" 星域数据 """,
"""Ok""",com/fs/starfarer/campaign/save/OoOO,"""确定""","com/fs/starfarer/campaign/save/new.Ô00000 - String - ""确定""",
"""Preloading...""",com/fs/starfarer/title/B,"""预加载中...""","com/fs/starfarer/title/OoOO.<init> - String - ""预加载中...""",
"""next tip""",com/fs/starfarer/title/D,"""next tip""","com/fs/starfarer/title/String.<init> - String - ""next tip""",
"""Don't assume some code will just work and not test it.""",com/fs/starfarer/title/D,"""Don't assume some code will just work and not test it.""","com/fs/starfarer/title/String.pickTipText - String - ""Don't assume some code will just work and not test it.""",
"""Fleets""",com/fs/starfarer/campaign/ui/o00OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,"""舰队水准""","com/fs/starfarer/campaign/ui/Q.ÒÔO000 - String - ""舰队水准""",
"""n / a""",com/fs/starfarer/coreui/refit/oO0OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,"""不适用""","com/fs/starfarer/coreui/refit/oO0OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO.createRow - String - ""不适用""",
"""Built-in""",com/fs/starfarer/coreui/refit/oO0OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,"""内置""","com/fs/starfarer/coreui/refit/oO0OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO.createRow - String - ""内置""",
"""n / a""",com/fs/starfarer/coreui/refit/oO0OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,"""不适用""","com/fs/starfarer/coreui/refit/oO0OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO.renderImpl - String - ""不适用""",
"""Built-in""",com/fs/starfarer/coreui/refit/oO0OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,"""内置""","com/fs/starfarer/coreui/refit/oO0OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO.renderImpl - String - ""内置""",
"""Dock""",com/fs/starfarer/coreui/refit/oO0OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,"""船坞""","com/fs/starfarer/coreui/refit/oO0OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO.renderImpl - String - ""船坞""",
"""giving orders""",com/fs/starfarer/ui/impl/public,"""正在下达指令""","com/fs/starfarer/ui/impl/oo0O.<init> - String - ""正在下达指令""",
"""command frequency open""",com/fs/starfarer/ui/impl/public,"""命令频段畅通""","com/fs/starfarer/ui/impl/oo0O.<init> - String - ""命令频段畅通""",
"""Yes""",com/fs/starfarer/coreui/refit/return,"""是""","com/fs/starfarer/coreui/refit/return.showUnsavedChangesDialog - String - ""是""",
"""No""",com/fs/starfarer/coreui/refit/return,"""不""","com/fs/starfarer/coreui/refit/return.showUnsavedChangesDialog - String - ""不""",
"""Confirm""",com/fs/starfarer/coreui/oOOO,"""确认""","com/fs/starfarer/coreui/A.sizeChanged - String - ""确认""",
"""Cancel""",com/fs/starfarer/coreui/oOOO,"""取消""","com/fs/starfarer/coreui/A.sizeChanged - String - ""取消""",
"""date""",com/fs/starfarer/campaign/ui/e,"""日期""","com/fs/starfarer/campaign/ui/Oo0o.<init> - String - ""日期""",
"""cycle""",com/fs/starfarer/campaign/ui/e,"""星历年""","com/fs/starfarer/campaign/ui/Oo0o.<init> - String - ""星历年""",
""", """,com/fs/starfarer/ui/impl/ooOo,""", ""","com/fs/starfarer/ui/impl/LogisticsTooltipFactory$7$2.super - String - "", """,英文符号修正
"""Hull integrity""",com/fs/starfarer/ui/impl/ooOo,"""船体结构值""","com/fs/starfarer/ui/impl/U.super - String - ""船体结构值""",
"""Combat readiness""",com/fs/starfarer/ui/impl/ooOo,"""战备值 (CR) ""","com/fs/starfarer/ui/impl/U.super - String - ""战备值 (CR) """,
"""No description... yet""",com/fs/starfarer/ui/impl/ooOo,"""No description... yet""","com/fs/starfarer/ui/impl/U.super - String - ""No description... yet""",
"""Design type: """,com/fs/starfarer/ui/impl/ooOo,"""设计类型：""","com/fs/starfarer/ui/impl/U.super - String - ""设计类型：""",
"""Capital""",com/fs/starfarer/ui/impl/ooOo,"""主力舰""","com/fs/starfarer/campaign/ui/O0O0.<init> - String - ""主力舰""",
"""Cruiser""",com/fs/starfarer/ui/impl/ooOo,"""巡洋舰""","com/fs/starfarer/ui/impl/U.super - String - ""巡洋舰""",
"""Destroyer""",com/fs/starfarer/ui/impl/ooOo,"""驱逐舰""","com/fs/starfarer/ui/impl/U.super - String - ""驱逐舰""",
"""Frigate""",com/fs/starfarer/ui/impl/ooOo,"""护卫舰""","com/fs/starfarer/ui/impl/U.super - String - ""护卫舰""",
"""Fighter""",com/fs/starfarer/ui/impl/ooOo,"""战斗机""","com/fs/starfarer/campaign/command/A.<init> - String - ""战斗机""",
"""Replacement chassis""",com/fs/starfarer/ui/impl/ooOo,"""更换旗舰""","com/fs/starfarer/ui/impl/U.super - String - ""更换旗舰""",
"""You have completed the tutorial. Press ESCAPE to go back to the main menu, or fly around a bit if you like.""",com/fs/starfarer/tutorial/combat/E,"""你已经完成了教学。按下 ESC 键回到主菜单，如果你喜欢，也可以到周围随便逛逛。""","com/fs/starfarer/tutorial/combat/class.String - String - ""你已经完成了教学。按下 ESC 键回到主菜单，如果你喜欢，也可以到周围随便逛逛。""",
"""Here are some asteroids for company, and target practice.""",com/fs/starfarer/tutorial/combat/E,"""这里有一些小行星，你可以把它们当作靶子来练习。""","com/fs/starfarer/tutorial/combat/class.String - String - ""这里有一些小行星，你可以把它们当作靶子来练习。""",
"""Tip: holding SHIFT while pressing A or D will make your ship strafe. Your ship will auto-turn towards the mouse while strafing.""",com/fs/starfarer/tutorial/combat/E,"""提示：按住 Shift 键然后按 A 或 D 来左右平移你的船舰。你的船舰将自动瞄准光标所在的位置以方便扫射。""","com/fs/starfarer/tutorial/combat/class.String - String - ""提示：按住 Shift 键然后按 A 或 D 来左右平移你的船舰。你的船舰将自动瞄准光标所在的位置以方便扫射。""",
"""Good.""",com/fs/starfarer/tutorial/combat/F,"""很好。""","com/fs/starfarer/tutorial/combat/F.Õ00000 - String - ""很好。""",
"""Press V to vent flux from your ship.""",com/fs/starfarer/tutorial/combat/F,"""按 V 键让你的舰船排放幅能。""","com/fs/starfarer/tutorial/combat/F.String - String - ""按 V 键让你的舰船排放幅能。""",
"""Great work!""",com/fs/starfarer/tutorial/combat/C,"""非常好！""","com/fs/starfarer/tutorial/combat/C.Õ00000 - String - ""非常好！""",
"""Move your ship away from this billboard! Use WASD to pilot.""",com/fs/starfarer/tutorial/combat/I,"""移动你的船离开这片区域！使用 W A S D 来飞行。""","com/fs/starfarer/tutorial/combat/I.String - String - ""移动你的船离开这片区域！使用 W A S D 来飞行。""",
