RAW,cn.mn,constant,constantCN
"com/fs/starfarer/api/impl/campaign/intel/bar/events/historian/HistorianData.getUCHeOrShe - String - ""she""",com/fs/starfarer/api/impl/campaign/intel/bar/events/historian/HistorianData.getUCHeOrShe ,she,她
"com/fs/starfarer/api/impl/campaign/intel/bar/events/historian/HistorianData.getHeOrShe - String - ""he""",com/fs/starfarer/api/impl/campaign/intel/bar/events/historian/HistorianData.getHeOrShe ,he,他
"com/fs/starfarer/api/impl/campaign/intel/bar/events/historian/HistorianData.getHeOrShe - String - ""she""",com/fs/starfarer/api/impl/campaign/intel/bar/events/historian/HistorianData.getHeOrShe ,she,她
"com/fs/starfarer/api/impl/campaign/intel/bar/events/historian/HistorianData.getHimOrHer - String - ""him""",com/fs/starfarer/api/impl/campaign/intel/bar/events/historian/HistorianData.getHimOrHer ,him,他
"com/fs/starfarer/api/impl/campaign/intel/bar/events/historian/HistorianData.getHimOrHer - String - ""her""",com/fs/starfarer/api/impl/campaign/intel/bar/events/historian/HistorianData.getHimOrHer ,her,她
"com/fs/starfarer/api/impl/campaign/intel/bar/events/historian/HistorianData.getHimOrHerself - String - ""himself""",com/fs/starfarer/api/impl/campaign/intel/bar/events/historian/HistorianData.getHimOrHerself ,himself,他
"com/fs/starfarer/api/impl/campaign/intel/bar/events/historian/HistorianData.getHimOrHerself - String - ""herself""",com/fs/starfarer/api/impl/campaign/intel/bar/events/historian/HistorianData.getHimOrHerself ,herself,她
"com/fs/starfarer/api/impl/campaign/intel/bar/events/historian/HistorianData.getHisOrHer - String - ""his""",com/fs/starfarer/api/impl/campaign/intel/bar/events/historian/HistorianData.getHisOrHer ,his,他
"com/fs/starfarer/api/impl/campaign/intel/bar/events/historian/HistorianData.getHisOrHer - String - ""her""",com/fs/starfarer/api/impl/campaign/intel/bar/events/historian/HistorianData.getHisOrHer ,her,她
"com/fs/starfarer/api/impl/campaign/intel/events/RemnantNexusActivityCause.addExtraRows - String - ""colonies""",com/fs/starfarer/api/impl/campaign/intel/events/RemnantNexusActivityCause.addExtraRows ,colonies,殖民地
"com/fs/starfarer/api/impl/campaign/intel/events/RemnantNexusActivityCause.addExtraRows - String - ""colony""",com/fs/starfarer/api/impl/campaign/intel/events/RemnantNexusActivityCause.addExtraRows ,colony,殖民地
"com/fs/starfarer/api/impl/campaign/intel/events/RemnantNexusActivityCause.addExtraRows - String - ""are""",com/fs/starfarer/api/impl/campaign/intel/events/RemnantNexusActivityCause.addExtraRows ,are,
"com/fs/starfarer/api/impl/campaign/intel/events/RemnantNexusActivityCause.addExtraRows - String - ""is""",com/fs/starfarer/api/impl/campaign/intel/events/RemnantNexusActivityCause.addExtraRows ,is,
"com/fs/starfarer/api/impl/campaign/intel/events/RemnantNexusActivityCause.addExtraRows - String - ""Remnant Nexus in the """,com/fs/starfarer/api/impl/campaign/intel/events/RemnantNexusActivityCause.addExtraRows ,Remnant Nexus in the ,余辉中枢 正影响 
"com/fs/starfarer/api/impl/campaign/abilities/ToggleAbilityWithCost.deductCost - String - "" suffers damage from """,com/fs/starfarer/api/impl/campaign/abilities/ToggleAbilityWithCost.deductCost , suffers damage from , 不慎因激活 
"com/fs/starfarer/api/impl/campaign/abilities/ToggleAbilityWithCost.deductCost - String - "" activation""",com/fs/starfarer/api/impl/campaign/abilities/ToggleAbilityWithCost.deductCost , activation, 而受到了损伤
"com/fs/starfarer/api/impl/campaign/abilities/ToggleAbilityWithCost.addCostTooltipSection - String - "" Prevents combat readiness recovery while active.""",com/fs/starfarer/api/impl/campaign/abilities/ToggleAbilityWithCost.addCostTooltipSection , Prevents combat readiness recovery while active., 激活时无法恢复战备值。
"com/fs/starfarer/api/impl/campaign/abilities/ToggleAbilityWithCost.addCostTooltipSection - String - "" The cost is incurred both when activating and deactivating the ability.""",com/fs/starfarer/api/impl/campaign/abilities/ToggleAbilityWithCost.addCostTooltipSection , The cost is incurred both when activating and deactivating the ability., 关闭时将再次消耗等量资源。
"com/fs/starfarer/api/impl/campaign/abilities/ToggleAbilityWithCost.addCostTooltipSection - String - ""year's""",com/fs/starfarer/api/impl/campaign/abilities/ToggleAbilityWithCost.addCostTooltipSection ,year's,#N/A
"com/fs/starfarer/api/impl/campaign/abilities/ToggleAbilityWithCost.addCostTooltipSection - String - ""years'""",com/fs/starfarer/api/impl/campaign/abilities/ToggleAbilityWithCost.addCostTooltipSection ,years',#N/A
"com/fs/starfarer/api/impl/campaign/abilities/ToggleAbilityWithCost.addCostTooltipSection - String - ""C""",com/fs/starfarer/api/impl/campaign/abilities/ToggleAbilityWithCost.addCostTooltipSection ,C,#N/A
"com/fs/starfarer/api/impl/campaign/abilities/ToggleAbilityWithCost.addCostTooltipSection - String - "" c""",com/fs/starfarer/api/impl/campaign/abilities/ToggleAbilityWithCost.addCostTooltipSection , c,#N/A
"com/fs/starfarer/api/impl/campaign/abilities/ToggleAbilityWithCost.addCostTooltipSection - String - ""onsumes %s light """,com/fs/starfarer/api/impl/campaign/abilities/ToggleAbilityWithCost.addCostTooltipSection ,onsumes %s light ,#N/A
"com/fs/starfarer/api/impl/campaign/abilities/ToggleAbilityWithCost.addCostTooltipSection - String - "" worth of fuel and reduces the combat readiness """,com/fs/starfarer/api/impl/campaign/abilities/ToggleAbilityWithCost.addCostTooltipSection , worth of fuel and reduces the combat readiness ,#N/A
"com/fs/starfarer/api/impl/campaign/abilities/ToggleAbilityWithCost.addCostTooltipSection - String - ""of all ships by %s of a combat deployment.""",com/fs/starfarer/api/impl/campaign/abilities/ToggleAbilityWithCost.addCostTooltipSection ,of all ships by %s of a combat deployment.,#N/A
"com/fs/starfarer/api/impl/campaign/abilities/ToggleAbilityWithCost.addCostTooltipSection - String - ""%""",com/fs/starfarer/api/impl/campaign/abilities/ToggleAbilityWithCost.addCostTooltipSection ,%,#N/A
"com/fs/starfarer/api/impl/campaign/abilities/ToggleAbilityWithCost.addCostTooltipSection - String - ""R""",com/fs/starfarer/api/impl/campaign/abilities/ToggleAbilityWithCost.addCostTooltipSection ,R,#N/A
"com/fs/starfarer/api/impl/campaign/abilities/ToggleAbilityWithCost.addCostTooltipSection - String - "" r""",com/fs/starfarer/api/impl/campaign/abilities/ToggleAbilityWithCost.addCostTooltipSection , r,#N/A
"com/fs/starfarer/api/impl/campaign/abilities/ToggleAbilityWithCost.addCostTooltipSection - String - ""educes the combat readiness """,com/fs/starfarer/api/impl/campaign/abilities/ToggleAbilityWithCost.addCostTooltipSection ,educes the combat readiness ,#N/A
"com/fs/starfarer/api/impl/campaign/abilities/ToggleAbilityWithCost.addCostTooltipSection - String - ""of all ships by %s of a combat deployment.""",com/fs/starfarer/api/impl/campaign/abilities/ToggleAbilityWithCost.addCostTooltipSection ,of all ships by %s of a combat deployment.,#N/A
"com/fs/starfarer/api/impl/campaign/abilities/ToggleAbilityWithCost.addCostTooltipSection - String - ""%""",com/fs/starfarer/api/impl/campaign/abilities/ToggleAbilityWithCost.addCostTooltipSection ,%,#N/A
"com/fs/starfarer/api/impl/campaign/abilities/ToggleAbilityWithCost.addCostTooltipSection - String - ""C""",com/fs/starfarer/api/impl/campaign/abilities/ToggleAbilityWithCost.addCostTooltipSection ,C,#N/A
"com/fs/starfarer/api/impl/campaign/abilities/ToggleAbilityWithCost.addCostTooltipSection - String - "" c""",com/fs/starfarer/api/impl/campaign/abilities/ToggleAbilityWithCost.addCostTooltipSection , c,#N/A
"com/fs/starfarer/api/impl/campaign/abilities/ToggleAbilityWithCost.addCostTooltipSection - String - ""onsumes %s light """,com/fs/starfarer/api/impl/campaign/abilities/ToggleAbilityWithCost.addCostTooltipSection ,onsumes %s light ,#N/A
"com/fs/starfarer/api/impl/campaign/abilities/ToggleAbilityWithCost.addCostTooltipSection - String - "" worth of fuel.""",com/fs/starfarer/api/impl/campaign/abilities/ToggleAbilityWithCost.addCostTooltipSection , worth of fuel.,#N/A
"com/fs/starfarer/api/impl/campaign/abilities/ToggleAbilityWithCost.addCostTooltipSection - String - ""Ships with insufficient combat readiness may suffer damage when the ability is activated.""",com/fs/starfarer/api/impl/campaign/abilities/ToggleAbilityWithCost.addCostTooltipSection ,Ships with insufficient combat readiness may suffer damage when the ability is activated.,#N/A
"com/fs/starfarer/api/impl/campaign/abilities/ToggleAbilityWithCost.addCostTooltipSection - String - ""C""",com/fs/starfarer/api/impl/campaign/abilities/ToggleAbilityWithCost.addCostTooltipSection ,C,
"com/fs/starfarer/api/impl/campaign/abilities/ToggleAbilityWithCost.addCostTooltipSection - String - "" c""",com/fs/starfarer/api/impl/campaign/abilities/ToggleAbilityWithCost.addCostTooltipSection , c,
"com/fs/starfarer/api/impl/campaign/abilities/ToggleAbilityWithCost.addCostTooltipSection - String - ""onsumes %s fuel and reduces the combat readiness""",com/fs/starfarer/api/impl/campaign/abilities/ToggleAbilityWithCost.addCostTooltipSection ,onsumes %s fuel and reduces the combat readiness,消耗 %s 燃料，并导致所有舰船的战备值下降，
"com/fs/starfarer/api/impl/campaign/abilities/ToggleAbilityWithCost.addCostTooltipSection - String - "" of all ships, costing up to %s supplies to recover.""",com/fs/starfarer/api/impl/campaign/abilities/ToggleAbilityWithCost.addCostTooltipSection ," of all ships, costing up to %s supplies to recover.",需要消耗 %s 补给进行恢复。
"com/fs/starfarer/api/impl/campaign/abilities/ToggleAbilityWithCost.addCostTooltipSection - String - ""R""",com/fs/starfarer/api/impl/campaign/abilities/ToggleAbilityWithCost.addCostTooltipSection ,R,
"com/fs/starfarer/api/impl/campaign/abilities/ToggleAbilityWithCost.addCostTooltipSection - String - "" r""",com/fs/starfarer/api/impl/campaign/abilities/ToggleAbilityWithCost.addCostTooltipSection , r,
"com/fs/starfarer/api/impl/campaign/abilities/ToggleAbilityWithCost.addCostTooltipSection - String - ""educes the combat readiness""",com/fs/starfarer/api/impl/campaign/abilities/ToggleAbilityWithCost.addCostTooltipSection ,educes the combat readiness,导致所有舰船的战备值下降，
"com/fs/starfarer/api/impl/campaign/abilities/ToggleAbilityWithCost.addCostTooltipSection - String - "" of all ships, costing up to %s supplies to recover.""",com/fs/starfarer/api/impl/campaign/abilities/ToggleAbilityWithCost.addCostTooltipSection ," of all ships, costing up to %s supplies to recover.",需要消耗 %s 补给进行恢复。
"com/fs/starfarer/api/impl/campaign/abilities/ToggleAbilityWithCost.addCostTooltipSection - String - ""C""",com/fs/starfarer/api/impl/campaign/abilities/ToggleAbilityWithCost.addCostTooltipSection ,C,
"com/fs/starfarer/api/impl/campaign/abilities/ToggleAbilityWithCost.addCostTooltipSection - String - "" c""",com/fs/starfarer/api/impl/campaign/abilities/ToggleAbilityWithCost.addCostTooltipSection , c,
"com/fs/starfarer/api/impl/campaign/abilities/ToggleAbilityWithCost.addCostTooltipSection - String - ""onsumes %s fuel.""",com/fs/starfarer/api/impl/campaign/abilities/ToggleAbilityWithCost.addCostTooltipSection ,onsumes %s fuel.,消耗 %s 燃料。
"com/fs/starfarer/api/impl/campaign/abilities/ToggleAbilityWithCost.addCostTooltipSection - String - ""Not enough fuel.""",com/fs/starfarer/api/impl/campaign/abilities/ToggleAbilityWithCost.addCostTooltipSection ,Not enough fuel.,燃料不足。
"com/fs/starfarer/api/impl/campaign/abilities/ToggleAbilityWithCost.addCostTooltipSection - String - ""Some ships don't have enough combat readiness and may suffer damage if the ability is activated:""",com/fs/starfarer/api/impl/campaign/abilities/ToggleAbilityWithCost.addCostTooltipSection ,Some ships don't have enough combat readiness and may suffer damage if the ability is activated:,以下舰船的战备值不足，如果强行激活将有可能遭受损伤：
"com/fs/starfarer/api/impl/campaign/abilities/ToggleAbilityWithCost.addCostTooltipSection - String - ""may suffer damage""",com/fs/starfarer/api/impl/campaign/abilities/ToggleAbilityWithCost.addCostTooltipSection ,may suffer damage,有可能遭受损伤
"com/fs/starfarer/api/impl/campaign/abilities/ToggleAbilityWithCost.addCostTooltipSection - String - "" ... and several other ships""",com/fs/starfarer/api/impl/campaign/abilities/ToggleAbilityWithCost.addCostTooltipSection ,      ... and several other ships,     ... 以及其他几艘舰船
"com/fs/starfarer/api/impl/campaign/abilities/ToggleAbilityWithCost.addCostTooltipSection - String - "", """,com/fs/starfarer/api/impl/campaign/abilities/ToggleAbilityWithCost.addCostTooltipSection ,", ",。
"com/fs/starfarer/api/impl/campaign/intel/FactionCommissionIntel.addBulletPoints - String - ""%s received""",com/fs/starfarer/api/impl/campaign/intel/FactionCommissionIntel.addBulletPoints ,%s received,%s 已收到
"com/fs/starfarer/api/impl/campaign/intel/FactionCommissionIntel.addBulletPoints - String - ""%s share based on damage dealt""",com/fs/starfarer/api/impl/campaign/intel/FactionCommissionIntel.addBulletPoints ,%s share based on damage dealt,根据所造成的伤害，将获得了 %s 的酬劳
"com/fs/starfarer/api/impl/campaign/intel/FactionCommissionIntel.addBulletPoints - String - ""%s base bounty per hostile frigate""",com/fs/starfarer/api/impl/campaign/intel/FactionCommissionIntel.addBulletPoints ,%s base bounty per hostile frigate,每击败一艘敌方护卫舰将获得 %s
"com/fs/starfarer/api/impl/campaign/intel/FactionCommissionIntel.addBulletPoints - String - ""%s monthly stipend""",com/fs/starfarer/api/impl/campaign/intel/FactionCommissionIntel.addBulletPoints ,%s monthly stipend,%s 的每月津贴
"com/fs/starfarer/api/impl/campaign/intel/FactionCommissionIntel.addBulletPoints - String - ""%s base reward per frigate""",com/fs/starfarer/api/impl/campaign/intel/FactionCommissionIntel.addBulletPoints ,%s base reward per frigate,每击败一艘敌方护卫舰将获得 %s
"com/fs/starfarer/api/impl/campaign/intel/FactionCommissionIntel.addBulletPoints - String - ""%s monthly stipend""",com/fs/starfarer/api/impl/campaign/intel/FactionCommissionIntel.addBulletPoints ,%s monthly stipend,%s 的每月津贴
"com/fs/starfarer/api/impl/campaign/intel/FactionCommissionIntel.getName - String - "" Commission""",com/fs/starfarer/api/impl/campaign/intel/FactionCommissionIntel.getName , Commission, 雇佣协议
"com/fs/starfarer/api/impl/campaign/intel/FactionCommissionIntel.getName - String - "" - Annulled""",com/fs/starfarer/api/impl/campaign/intel/FactionCommissionIntel.getName , - Annulled, - 已废除
"com/fs/starfarer/api/impl/campaign/intel/FactionCommissionIntel.getName - String - "" - Annulled""",com/fs/starfarer/api/impl/campaign/intel/FactionCommissionIntel.getName , - Annulled, - 已废除
