LDC97,class97,LDC96CN
""" has entered your service""",com/fs/starfarer/api/impl/campaign/rulecmd/AddRemoveCommodity,""" 加入了你的舰队"""
"""Acquired """,com/fs/starfarer/api/impl/campaign/rulecmd/AddRemoveCommodity,"""获得 """
"""Lost """,com/fs/starfarer/api/impl/campaign/rulecmd/AddRemoveCommodity,"""失去了 """
"""Acquired """,com/fs/starfarer/api/impl/campaign/rulecmd/AddRemoveCommodity,"""获得 """
"""%s has lost %s combat readiness""",com/fs/starfarer/api/impl/campaign/rulecmd/AddRemoveCommodity,"""%s 失去了 %s 的战备值 (CR) """
"""The inspection task force has failed to successfully reach the """,com/fs/starfarer/api/impl/campaign/intel/inspection/HITravelStage,"""因视察团未能成功抵达 """
""". The inspection is now over.""",com/fs/starfarer/api/impl/campaign/intel/inspection/HITravelStage,""". 而中止任务。"""
"""The inspection task force is currently travelling to the """,com/fs/starfarer/api/impl/campaign/intel/inspection/HITravelStage,"""视察团目前正在前往 """
"""An obligation from your past""",com/fs/starfarer/api/impl/campaign/tutorial/SpacerObligation,"""为你曾犯下的错误买单"""
"""You never talk about it.""",com/fs/starfarer/api/impl/campaign/tutorial/SpacerObligation,"""你从不向他人提及此事。"""
"""man""",com/fs/starfarer/api/impl/campaign/intel/bar/events/historian/HistorianData,"""男人"""
"""woman""",com/fs/starfarer/api/impl/campaign/intel/bar/events/historian/HistorianData,"""女人"""
"""he""",com/fs/starfarer/api/impl/campaign/intel/bar/events/historian/HistorianData,"""他"""
"""she""",com/fs/starfarer/api/impl/campaign/intel/bar/events/historian/HistorianData,"""她"""
"""he""",com/fs/starfarer/api/impl/campaign/intel/bar/events/historian/HistorianData,"""他"""
"""she""",com/fs/starfarer/api/impl/campaign/intel/bar/events/historian/HistorianData,"""她"""
"""him""",com/fs/starfarer/api/impl/campaign/intel/bar/events/historian/HistorianData,"""他"""
"""her""",com/fs/starfarer/api/impl/campaign/intel/bar/events/historian/HistorianData,"""她"""
"""himself""",com/fs/starfarer/api/impl/campaign/intel/bar/events/historian/HistorianData,"""他"""
"""herself""",com/fs/starfarer/api/impl/campaign/intel/bar/events/historian/HistorianData,"""她"""
"""his""",com/fs/starfarer/api/impl/campaign/intel/bar/events/historian/HistorianData,"""他"""
"""her""",com/fs/starfarer/api/impl/campaign/intel/bar/events/historian/HistorianData,"""她"""
"""colonies""",com/fs/starfarer/api/impl/campaign/intel/events/RemnantNexusActivityCause,
"""colony""",com/fs/starfarer/api/impl/campaign/intel/events/RemnantNexusActivityCause,
"""are""",com/fs/starfarer/api/impl/campaign/intel/events/RemnantNexusActivityCause,
"""is""",com/fs/starfarer/api/impl/campaign/intel/events/RemnantNexusActivityCause,
"""Remnant Nexus in the """,com/fs/starfarer/api/impl/campaign/intel/events/RemnantNexusActivityCause,
"""+""",com/fs/starfarer/api/impl/campaign/intel/events/RemnantNexusActivityCause,
""" """,com/fs/starfarer/api/impl/campaign/intel/events/RemnantNexusActivityCause,
""" suffers damage from """,com/fs/starfarer/api/impl/campaign/abilities/ToggleAbilityWithCost,
""" activation""",com/fs/starfarer/api/impl/campaign/abilities/ToggleAbilityWithCost,
"""""",com/fs/starfarer/api/impl/campaign/abilities/ToggleAbilityWithCost,""""""
""" Prevents combat readiness recovery while active.""",com/fs/starfarer/api/impl/campaign/abilities/ToggleAbilityWithCost,"""激活后阻止战备值恢复。"""
"""""",com/fs/starfarer/api/impl/campaign/abilities/ToggleAbilityWithCost,""""""
""" The cost is incurred both when activating and deactivating the ability.""",com/fs/starfarer/api/impl/campaign/abilities/ToggleAbilityWithCost,"""关闭技能时将再次消耗等量资源。"""
"""C""",com/fs/starfarer/api/impl/campaign/abilities/ToggleAbilityWithCost,""""""
""" c""",com/fs/starfarer/api/impl/campaign/abilities/ToggleAbilityWithCost,""""""
"""onsumes %s fuel and reduces the combat readiness""",com/fs/starfarer/api/impl/campaign/abilities/ToggleAbilityWithCost,"""消耗 %s 燃料，并导致所有船只的战备值下降，"""
""" of all ships, costing up to %s supplies to recover.""",com/fs/starfarer/api/impl/campaign/abilities/ToggleAbilityWithCost,"""需要消耗 %s 补给进行恢复。"""
"""R""",com/fs/starfarer/api/impl/campaign/abilities/ToggleAbilityWithCost,""""""
""" r""",com/fs/starfarer/api/impl/campaign/abilities/ToggleAbilityWithCost,""""""
"""educes the combat readiness""",com/fs/starfarer/api/impl/campaign/abilities/ToggleAbilityWithCost,"""导致所有船只的战备值下降，"""
""" of all ships, costing up to %s supplies to recover.""",com/fs/starfarer/api/impl/campaign/abilities/ToggleAbilityWithCost,"""需要消耗 %s 补给进行恢复。"""
"""C""",com/fs/starfarer/api/impl/campaign/abilities/ToggleAbilityWithCost,""""""
""" c""",com/fs/starfarer/api/impl/campaign/abilities/ToggleAbilityWithCost,""""""
"""onsumes %s fuel.""",com/fs/starfarer/api/impl/campaign/abilities/ToggleAbilityWithCost,"""消耗 %s 燃料。"""
"""Not enough fuel.""",com/fs/starfarer/api/impl/campaign/abilities/ToggleAbilityWithCost,"""燃料不足。"""
"""Some ships don't have enough combat readiness and may suffer damage if the ability is activated:""",com/fs/starfarer/api/impl/campaign/abilities/ToggleAbilityWithCost,"""以下船只的战备值不足，如果强行使用技能将有可能遭受损伤："""
"""may suffer damage""",com/fs/starfarer/api/impl/campaign/abilities/ToggleAbilityWithCost,"""有可能遭受损伤"""
""" ... and several other ships""",com/fs/starfarer/api/impl/campaign/abilities/ToggleAbilityWithCost,"""…和其他几艘船只"""
"""""",com/fs/starfarer/api/impl/campaign/abilities/ToggleAbilityWithCost,""""""
""", """,com/fs/starfarer/api/impl/campaign/abilities/ToggleAbilityWithCost,"""。"""
""" """,com/fs/starfarer/api/impl/campaign/abilities/ToggleAbilityWithCost,""" """
"""%s received""",com/fs/starfarer/api/impl/campaign/intel/FactionCommissionIntel,"""%s 已收到"""
"""%s share based on damage dealt""",com/fs/starfarer/api/impl/campaign/intel/FactionCommissionIntel,"""根据所造成的伤害，将获得了 %s 的酬劳"""
"""%s base bounty per hostile frigate""",com/fs/starfarer/api/impl/campaign/intel/FactionCommissionIntel,"""每击败一艘敌方护卫舰将获得 %s"""
"""%s monthly stipend""",com/fs/starfarer/api/impl/campaign/intel/FactionCommissionIntel,"""%s 的每月津贴"""
"""%s base reward per frigate""",com/fs/starfarer/api/impl/campaign/intel/FactionCommissionIntel,"""每击败一艘敌方护卫舰将获得 %s"""
"""%s monthly stipend""",com/fs/starfarer/api/impl/campaign/intel/FactionCommissionIntel,"""%s 的每月津贴"""
"""Commission""",com/fs/starfarer/api/impl/campaign/intel/FactionCommissionIntel,"""雇佣协议"""
""" Commission""",com/fs/starfarer/api/impl/campaign/intel/FactionCommissionIntel,""" 雇佣协议 - 废除"""
""" - Annulled""",com/fs/starfarer/api/impl/campaign/intel/FactionCommissionIntel,
""" - Annulled""",com/fs/starfarer/api/impl/campaign/intel/FactionCommissionIntel,
""" - Resigned""",com/fs/starfarer/api/impl/campaign/intel/FactionCommissionIntel,
""" - Accepted""",com/fs/starfarer/api/impl/campaign/intel/FactionCommissionIntel,
"""Your commission was annulled by """,com/fs/starfarer/api/impl/campaign/intel/FactionCommissionIntel,"""因过于糟糕的声望，你与 """
""" due to your standing falling too low.""",com/fs/starfarer/api/impl/campaign/intel/FactionCommissionIntel,""" 间的雇佣协议遭到废除。"""
"""You've resigned your commission with """,com/fs/starfarer/api/impl/campaign/intel/FactionCommissionIntel,"""你解除了与 """
""".""",com/fs/starfarer/api/impl/campaign/intel/FactionCommissionIntel,""" 间的雇佣协议。"""
"""You've accepted a %s commission.""",com/fs/starfarer/api/impl/campaign/intel/FactionCommissionIntel,"""你与 %s 签订了雇佣协议"""
"""The combat bounty payment depends on the number and size of ships destroyed.""",com/fs/starfarer/api/impl/campaign/intel/FactionCommissionIntel,"""战斗赏金取决于被摧毁舰船的数量与规格。"""
"""Most recent bounty:""",com/fs/starfarer/api/impl/campaign/intel/FactionCommissionIntel,"""近期收获："""
"""%s received""",com/fs/starfarer/api/impl/campaign/intel/FactionCommissionIntel,"""%s 已收到"""
"""%s share based on damage dealt""",com/fs/starfarer/api/impl/campaign/intel/FactionCommissionIntel,"""根据所造成的伤害，将获得了 %s 的酬劳"""
"""Resign commission""",com/fs/starfarer/api/impl/campaign/intel/FactionCommissionIntel,"""解除雇佣协议"""
"""You can not resign your commission while polities under your control are members of the League.""",com/fs/starfarer/api/impl/campaign/intel/FactionCommissionIntel,
"""Missions""",com/fs/starfarer/api/impl/campaign/intel/FactionCommissionIntel,#N/A
"""Agreements""",com/fs/starfarer/api/impl/campaign/intel/FactionCommissionIntel,#N/A
"""commission""",com/fs/starfarer/api/impl/campaign/intel/FactionCommissionIntel,"""雇佣协议"""
"""Fleet""",com/fs/starfarer/api/impl/campaign/intel/FactionCommissionIntel,"""舰队"""
""" Commission""",com/fs/starfarer/api/impl/campaign/intel/FactionCommissionIntel,""" 雇佣协议"""
"""doubled""",com/fs/starfarer/api/impl/hullmods/EscortPackage,#N/A
"""%""",com/fs/starfarer/api/impl/hullmods/EscortPackage,#N/A
"""Can not be installed on frigates""",com/fs/starfarer/api/impl/hullmods/EscortPackage,#N/A
"""Can not be installed on capital ships""",com/fs/starfarer/api/impl/hullmods/EscortPackage,#N/A
"""Escort package""",com/fs/starfarer/api/impl/hullmods/EscortPackage,#N/A
""" telemetry quality""",com/fs/starfarer/api/impl/hullmods/EscortPackage,#N/A
"""Escort package""",com/fs/starfarer/api/impl/hullmods/EscortPackage,#N/A
"""no connection""",com/fs/starfarer/api/impl/hullmods/EscortPackage,#N/A
"""Industries on Tri-Tachyon colonies disrupted""",com/fs/starfarer/api/impl/campaign/intel/events/ttcr/TTCRIndustryDisruptedFactorHint,#N/A
"""Base value for colony size""",com/fs/starfarer/api/impl/campaign/econ/ResourceDepositsCondition,"""殖民地规模"""
"""No bonuses or penalties to """,com/fs/starfarer/api/impl/campaign/econ/ResourceDepositsCondition,"""不会提高或降低 """
""" production (""",com/fs/starfarer/api/impl/campaign/econ/ResourceDepositsCondition,""" 的产量 ("""
""" production (""",com/fs/starfarer/api/impl/campaign/econ/ResourceDepositsCondition,""" 的产量 ("""
"""The ""Emergency Burn"" ability no longer reduces combat readiness""",com/fs/starfarer/api/impl/campaign/skills/ContainmentProcedures$Level2,"""""紧急加速"" 技能不再降低战备值 (CR) """
"""-%s crew lost due to hull damage in combat (maximum: %s)""",com/fs/starfarer/api/impl/campaign/skills/ContainmentProcedures$Level1,"""-%s 战斗中因船体结构受损而造成的船员伤亡 (最高：%s) """
"""Refugee population""",com/fs/starfarer/api/impl/campaign/econ/LargeRefugeePopulation,"""难民潮"""
"""Perform a tactical bombardment of""",com/fs/starfarer/api/impl/campaign/missions/TacticallyBombardColony,"""战术轰炸"""
"""Tactically bombard """,com/fs/starfarer/api/impl/campaign/missions/TacticallyBombardColony,"""对 """
""" in the """,com/fs/starfarer/api/impl/campaign/missions/TacticallyBombardColony,""" 进行一次战术轰炸，而此处位于 """
"""Bombard """,com/fs/starfarer/api/impl/campaign/missions/TacticallyBombardColony,"""轰炸 """
"""Reduces fuel consumption by %s or %s units, whichever is lower""",com/fs/starfarer/api/impl/campaign/skills/ContainmentProcedures$Level4,"""-%s 或 %s 单位的燃料消耗，按两者中较低者计算"""
"""is""",com/fs/starfarer/api/impl/campaign/skills/ContainmentProcedures$Level4,""", """
"""would be""",com/fs/starfarer/api/impl/campaign/skills/ContainmentProcedures$Level4,""", """
"""Your fleet has a base fuel consumption of %s, which """,com/fs/starfarer/api/impl/campaign/skills/ContainmentProcedures$Level4,"""你的舰队当前燃料消耗为 %s"""
""" reduced by %s, or %s units""",com/fs/starfarer/api/impl/campaign/skills/ContainmentProcedures$Level4,"""现在降低 %s, 即 %s 单位"""
"""% fuel salvaged""",com/fs/starfarer/api/impl/campaign/skills/ContainmentProcedures$Level3,"""% 燃料打捞"""
"""NO DRONES""",com/fs/starfarer/api/impl/combat/DroneStrikeStats,"""没有无人机"""
"""OUT OF RANGE""",com/fs/starfarer/api/impl/combat/DroneStrikeStats,"""超出范围"""
"""NO TARGET""",com/fs/starfarer/api/impl/combat/DroneStrikeStats,"""没有目标"""
"""OUT OF RANGE""",com/fs/starfarer/api/impl/combat/DroneStrikeStats,"""超出范围"""
"""READY""",com/fs/starfarer/api/impl/combat/DroneStrikeStats,"""准备"""
"""Affects: %s""",com/fs/starfarer/api/impl/campaign/skills/ContainmentProcedures$Level5,"""影响：%s"""
"""+%s fuel production""",com/fs/starfarer/api/impl/campaign/skills/ContainmentProcedures$Level5,"""+%s 燃料产量"""
"""Surveying skill""",com/fs/starfarer/api/impl/campaign/skills/MakeshiftEquipment$Level1,"""临时设备"""
"""% resources required to survey planets""",com/fs/starfarer/api/impl/campaign/skills/MakeshiftEquipment$Level1,"""% 勘探行星时所需的资源"""
"""Space operations""",com/fs/starfarer/api/impl/campaign/skills/SpaceOperations$Level1,"""空间作业"""
"""% accessibility""",com/fs/starfarer/api/impl/campaign/skills/SpaceOperations$Level1,"""% 流通性"""
"""Surveying skill""",com/fs/starfarer/api/impl/campaign/skills/MakeshiftEquipment$Level2,"""临时设备"""
"""% resources extracted from surface deposits on uncolonized planets""",com/fs/starfarer/api/impl/campaign/skills/MakeshiftEquipment$Level2,"""% 从未被殖民的星球地表矿藏中提取到的资源"""
"""Fleet logistics""",com/fs/starfarer/api/impl/campaign/skills/SpaceOperations$Level2,"""舰队后勤"""
"""% fleet size""",com/fs/starfarer/api/impl/campaign/skills/SpaceOperations$Level2,"""% 舰队规模"""
"""Reduces monthly supply consumption for ship maintenance by %s or %s units, whichever is lower""",com/fs/starfarer/api/impl/campaign/skills/MakeshiftEquipment$Level3,"""每月舰船维护所需补给 -%s 或 %s 单位，按两者中较低者计算"""
"""is""",com/fs/starfarer/api/impl/campaign/skills/MakeshiftEquipment$Level3,""", """
"""would be""",com/fs/starfarer/api/impl/campaign/skills/MakeshiftEquipment$Level3,""", """
"""Your fleet requires a base %s supplies per month for maintenance, which """,com/fs/starfarer/api/impl/campaign/skills/MakeshiftEquipment$Level3,"""你的舰队当前每月维护所需补给为 %s"""
""" reduced by %s, or %s units""",com/fs/starfarer/api/impl/campaign/skills/MakeshiftEquipment$Level3,"""现在降低 %s 或 %s 单位"""
"""Ships with high resolution sensors""",com/fs/starfarer/api/impl/hullmods/HighResSensors,"""配有高精度传感器"""
"""A ship with high resolution sensors increases the fleet's sensor range by %s/%s/%s/%s, depending on hull size. Each additional ship with high resolution sensors provides diminishing returns. The higher the highest sensor range increase from a single ship in the fleet, the later diminishing returns kick in.""",com/fs/starfarer/api/impl/hullmods/HighResSensors,#N/A
"""The total sensor strength increase for your fleet is %s.""",com/fs/starfarer/api/impl/hullmods/HighResSensors,"""当前舰队探测范围提高了 %s。"""
"""This ship's combat readiness is below %s and its high resolution sensors can not be utilized. Bringing this ship into readiness would increase the fleetwide bonus to %s.""",com/fs/starfarer/api/impl/hullmods/HighResSensors,"""This ship's combat readiness is below %s and its high resolution sensors can not be utilized. Bringing this ship into readiness would increase the fleetwide bonus to %s."""
"""Removing this ship would decrease it to %s. Adding another ship of the same type would increase it to %s.""",com/fs/starfarer/api/impl/hullmods/HighResSensors,"""移除该舰会使增益降至 %s。添加同类舰船会使增益提高至 %s。"""
"""Adding another ship of the same type would increase it to %s.""",com/fs/starfarer/api/impl/hullmods/HighResSensors,"""如果再提高一艘同类型舰船，其增益将提升至 %s。"""
"""Hegemony""",com/fs/starfarer/api/impl/campaign/intel/events/HegemonyHostileActivityFactor,#N/A
"""Hegemony""",com/fs/starfarer/api/impl/campaign/intel/events/HegemonyHostileActivityFactor,#N/A
"""Upcoming Hegemony AI inspection targeting %s""",com/fs/starfarer/api/impl/campaign/intel/events/HegemonyHostileActivityFactor,#N/A
"""Hegemony""",com/fs/starfarer/api/impl/campaign/intel/events/HegemonyHostileActivityFactor,#N/A
"""Hegemony AI inspection averted""",com/fs/starfarer/api/impl/campaign/intel/events/HegemonyHostileActivityFactor,#N/A
"""You've received intel that the Hegemony is planning an AI insprection targeting %s. If the inspection arrives at your colony, your options would include open hostilities with the Hegemony, or the loss of at least some of your AI cores.""",com/fs/starfarer/api/impl/campaign/intel/events/HegemonyHostileActivityFactor,#N/A
"""open hostilities""",com/fs/starfarer/api/impl/campaign/intel/events/HegemonyHostileActivityFactor,#N/A
"""loss of at least some of your AI cores""",com/fs/starfarer/api/impl/campaign/intel/events/HegemonyHostileActivityFactor,#N/A
"""If this inspection is defeated by military means, the Hegemony is likely to escalate the conflict, although only up to a point.""",com/fs/starfarer/api/impl/campaign/intel/events/HegemonyHostileActivityFactor,#N/A
"""escalate the conflict""",com/fs/starfarer/api/impl/campaign/intel/events/HegemonyHostileActivityFactor,#N/A
"""escalate the conflict""",com/fs/starfarer/api/impl/campaign/intel/events/HegemonyHostileActivityFactor,#N/A
"""up to a point""",com/fs/starfarer/api/impl/campaign/intel/events/HegemonyHostileActivityFactor,#N/A
"""If this massive inspection force - a declaration of war in all but name - is defeated, the Hegemony is likely to reconsider the viability of their approach.""",com/fs/starfarer/api/impl/campaign/intel/events/HegemonyHostileActivityFactor,#N/A
"""reconsider""",com/fs/starfarer/api/impl/campaign/intel/events/HegemonyHostileActivityFactor,#N/A
"""The %s has no functional military bases""",com/fs/starfarer/api/impl/campaign/intel/events/HegemonyHostileActivityFactor,#N/A
"""Hegemony""",com/fs/starfarer/api/impl/campaign/intel/events/HegemonyHostileActivityFactor,#N/A
"""Hegemony AI inspection""",com/fs/starfarer/api/impl/campaign/intel/events/HegemonyHostileActivityFactor,#N/A
"""Your salvage crews find a partially-accessible data core that contains hyperspace topography data. The data is well out of date, but that makes it particularly valuable in extrapolating current trends.""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/special/TopographicDataSpecial,"""Your salvage crews find a partially-accessible data core that contains hyperspace topography data. The data is well out of date, but that makes it particularly valuable in extrapolating current trends."""
"""Incompatible with Phase Anchor""",com/fs/starfarer/api/impl/hullmods/AdaptivePhaseCoils,"""不兼容于 相位锚定"""
"""Can only be installed on phase ships""",com/fs/starfarer/api/impl/hullmods/AdaptivePhaseCoils,"""只能安装在相位舰船上"""
"""+50% missile, rocket, bomb, and torpedo hitpoints""",com/fs/starfarer/api/impl/campaign/skills/StrikeCommander$Level2,"""+50% 导弹、火箭、炸弹和鱼雷的生命值"""
"""+20% damage to ships of destroyer size and larger""",com/fs/starfarer/api/impl/campaign/skills/StrikeCommander$Level3,"""+20% 对驱逐舰以及更大型舰船的伤害"""
"""+100% target leading accuracy""",com/fs/starfarer/api/impl/campaign/skills/StrikeCommander$Level4,"""+100% 投弹精度"""
"""Sensors skill""",com/fs/starfarer/api/impl/campaign/skills/Sensors$Level1,"""传感探测"""
"""% detected-at range""",com/fs/starfarer/api/impl/campaign/skills/Sensors$Level1,"""% 被侦测范围"""
"""*A slow-moving fleet is harder to detect in some types of terrain, and can avoid some hazards. Some abilities also make the fleet move slowly when activated. A fleet is considered slow-moving at a burn level of half that of its slowest ship.""",com/fs/starfarer/api/impl/campaign/skills/Sensors$Level0,"""*A slow-moving fleet is harder to detect in some types of terrain, and can avoid some hazards. Some abilities also make the fleet move slowly when activated. A fleet is considered slow-moving at a burn level of half that of its slowest ship."""
""" to burn level at which the fleet is considered to be moving slowly*""",com/fs/starfarer/api/impl/campaign/skills/Sensors$Level3,""" 当舰队处于缓慢航行时的最大宇宙航行速度"""
"""Sensors skill""",com/fs/starfarer/api/impl/campaign/skills/Sensors$Level2,"""传感探测"""
"""% sensor range""",com/fs/starfarer/api/impl/campaign/skills/Sensors$Level2,"""% 探测范围"""
"""Hijacking""",com/fs/starfarer/api/impl/campaign/missions/HijackingMission,"""劫持"""
"""Military infrastructure""",com/fs/starfarer/api/impl/campaign/intel/events/HAColonyDefensesFactor,#N/A
"""Previous page""",com/fs/starfarer/api/impl/campaign/rulecmd/PaginatedOptions,"""上一页"""
"""Next page""",com/fs/starfarer/api/impl/campaign/rulecmd/PaginatedOptions,"""下一页"""
"""Resources: required (available)""",com/fs/starfarer/api/impl/campaign/rulecmd/ShowResCost,"""所需资源 (可用) """
""" - Modspec""",com/fs/starfarer/api/campaign/impl/items/ModSpecItemPlugin,""" - 船体插件"""
"""Already known""",com/fs/starfarer/api/campaign/impl/items/ModSpecItemPlugin,"""已知"""
"""Right-click to learn""",com/fs/starfarer/api/campaign/impl/items/ModSpecItemPlugin,"""右键单击学习"""
""": already known""",com/fs/starfarer/api/campaign/impl/items/ModSpecItemPlugin,""": 已知"""
"""Acquired hull mod: """,com/fs/starfarer/api/campaign/impl/items/ModSpecItemPlugin,"""获得船体插件："""
"""Base value for colony size""",com/fs/starfarer/api/impl/campaign/econ/impl/Farming,"""殖民地规模"""
"""Base value for colony size""",com/fs/starfarer/api/impl/campaign/econ/impl/Farming,"""殖民地规模"""
"""Requires farmland""",com/fs/starfarer/api/impl/campaign/econ/impl/Farming,"""需要耕地"""
"""OUT OF RANGE""",com/fs/starfarer/api/impl/combat/MineStrikeStats,"""超出范围"""
"""READY""",com/fs/starfarer/api/impl/combat/MineStrikeStats,"""准备"""
"""Stellar Mirror Beta""",com/fs/starfarer/api/impl/campaign/procgen/themes/MiscellaneousThemeGenerator,"""'贝塔' 恒星镜"""
"""Stellar Mirror Gamma""",com/fs/starfarer/api/impl/campaign/procgen/themes/MiscellaneousThemeGenerator,"""'伽马' 恒星镜"""
"""Stellar Mirror Delta""",com/fs/starfarer/api/impl/campaign/procgen/themes/MiscellaneousThemeGenerator,"""'德尔塔' 恒星镜"""
"""Stellar Mirror Alpha""",com/fs/starfarer/api/impl/campaign/procgen/themes/MiscellaneousThemeGenerator,"""'阿尔法' 恒星镜"""
"""Stellar Mirror Epsilon""",com/fs/starfarer/api/impl/campaign/procgen/themes/MiscellaneousThemeGenerator,"""'艾普西龙' 恒星镜"""
"""Stellar Shade Psi""",com/fs/starfarer/api/impl/campaign/procgen/themes/MiscellaneousThemeGenerator,"""'普西' 恒星罩"""
"""Stellar Shade Omega""",com/fs/starfarer/api/impl/campaign/procgen/themes/MiscellaneousThemeGenerator,"""'欧米伽' 恒星罩"""
"""Stellar Shade Chi""",com/fs/starfarer/api/impl/campaign/procgen/themes/MiscellaneousThemeGenerator,"""'器' 恒星罩"""
"""CGR Light of Exultation""",com/fs/starfarer/api/impl/campaign/procgen/themes/MiscellaneousThemeGenerator,#N/A
"""Starting person bounty by faction [%s] for person %s""",com/fs/starfarer/api/impl/campaign/intel/PersonBountyIntel,"""此赏金奖金是由 [%s] 针对 %s 发布"""
"""Ending bounty on %s by %s""",com/fs/starfarer/api/impl/campaign/intel/PersonBountyIntel,"""结束赏金 %s 由于 %s"""
"""Paying bounty of %d from faction [%s]""",com/fs/starfarer/api/impl/campaign/intel/PersonBountyIntel,"""支付奖金 %d 来自 [%s] """
