LDC_96a,Class,LDC__95.1CN,RAW_95.1CN
"""Reduce the supply expenditure. Selling or mothballing extra ships and suspending repairs or reducing the supplies spent on them are both good ways to so.""",com/fs/starfarer/campaign/accidents/B,"""降低补给消耗. 出售或封存一些舰船或暂停修理降低耗材花费都是很好的方法.""","com/fs/starfarer/campaign/accidents/B.Ô00000 - String - ""降低补给消耗. 出售或封存一些舰船或暂停修理降低耗材花费都是很好的方法."""
"""A makeshift life support system """,com/fs/starfarer/campaign/accidents/do,"""临时生命支持系统 ""","com/fs/starfarer/campaign/accidents/M.class - String - ""临时生命支持系统 """
"""A vacuum-tight seal in a makeshift crew compartment """,com/fs/starfarer/campaign/accidents/do,"""临时的船员真空密封室 ""","com/fs/starfarer/campaign/accidents/M.class - String - ""临时的船员真空密封室 """
"""An improvised habitat """,com/fs/starfarer/campaign/accidents/do,"""临时住所 ""","com/fs/starfarer/campaign/accidents/M.class - String - ""临时住所 """
"""developed a slow leak in the off hours""",com/fs/starfarer/campaign/accidents/do,"""在休息时间发生空气缓慢泄露""","com/fs/starfarer/campaign/accidents/M.class - String - ""在休息时间发生空气缓慢泄露"""
"""required emergency maintenance""",com/fs/starfarer/campaign/accidents/do,"""需要紧急维修""","com/fs/starfarer/campaign/accidents/M.class - String - ""需要紧急维修"""
"""suffered a brief malfunction""",com/fs/starfarer/campaign/accidents/do,"""出现短暂故障""","com/fs/starfarer/campaign/accidents/M.class - String - ""出现短暂故障"""
""", resulting in""",com/fs/starfarer/campaign/accidents/do,""", 导致""","com/fs/starfarer/campaign/accidents/M.class - String - "", 导致"""
"""A makeshift life support system """,com/fs/starfarer/campaign/accidents/do,"""临时生命支持系统 ""","com/fs/starfarer/campaign/accidents/M.class - String - ""临时生命支持系统 """
"""A vacuum-tight seal in a makeshift crew compartment """,com/fs/starfarer/campaign/accidents/do,"""临时的船员真空密封室 ""","com/fs/starfarer/campaign/accidents/M.class - String - ""临时的船员真空密封室 """
"""An improvised habitat """,com/fs/starfarer/campaign/accidents/do,"""临时住所 ""","com/fs/starfarer/campaign/accidents/M.class - String - ""临时住所 """
"""suffered an extended shutdownfailed unexpectedly""",com/fs/starfarer/campaign/accidents/do,"""遭受长时间的意外停机""","com/fs/starfarer/campaign/accidents/M.class - String - ""遭受长时间的意外停机"""
"""depressurized""",com/fs/starfarer/campaign/accidents/do,"""压力下降""","com/fs/starfarer/campaign/accidents/M.class - String - ""压力下降"""
""", resulting in""",com/fs/starfarer/campaign/accidents/do,""", 导致""","com/fs/starfarer/campaign/accidents/M.class - String - "", 导致"""
"""A makeshift life support system """,com/fs/starfarer/campaign/accidents/do,"""临时生命支持系统 ""","com/fs/starfarer/campaign/accidents/M.class - String - ""临时生命支持系统 """
"""A vacuum-tight seal in a makeshift crew compartment """,com/fs/starfarer/campaign/accidents/do,"""临时的船员真空密封室 ""","com/fs/starfarer/campaign/accidents/M.class - String - ""临时的船员真空密封室 """
"""An improvised habitat """,com/fs/starfarer/campaign/accidents/do,"""临时住所 ""","com/fs/starfarer/campaign/accidents/M.class - String - ""临时住所 """
"""suffered a catastrophic depressurizationexploded""",com/fs/starfarer/campaign/accidents/do,"""遭受灾难性的减压爆炸""","com/fs/starfarer/campaign/accidents/M.class - String - ""遭受灾难性的减压爆炸"""
"""failed after exposure to an unexpected burst of radiation""",com/fs/starfarer/campaign/accidents/do,"""接触到意外的辐射""","com/fs/starfarer/campaign/accidents/M.class - String - ""接触到意外的辐射"""
""", resulting in""",com/fs/starfarer/campaign/accidents/do,""", 导致""","com/fs/starfarer/campaign/accidents/M.class - String - "", 导致"""
"""An unknown accident occurred, resulting in""",com/fs/starfarer/campaign/accidents/do,"""发生不明事故, 导致""","com/fs/starfarer/campaign/accidents/M.class - String - ""发生不明事故, 导致"""
"""Personnel capacity exceeded""",com/fs/starfarer/campaign/accidents/do,"""人员超载""","com/fs/starfarer/campaign/accidents/M.new - String - ""人员超载"""
"""Offload excess crew, or acquire more ships to increase your fleet's personnel capacity""",com/fs/starfarer/campaign/accidents/do,"""卸载多余的人员, 或获得更多的船只来提高你的舰队的载人能力""","com/fs/starfarer/campaign/accidents/M.Ô00000 - String - ""卸载多余的人员, 或获得更多的船只来提高你的舰队的载人能力"""
"""Dismiss""",com/fs/starfarer/campaign/accidents/E,"""离开""","com/fs/starfarer/campaign/accidents/E.<init> - String - ""离开"""
"""Accident Report""",com/fs/starfarer/campaign/accidents/E,"""事故报告""","com/fs/starfarer/campaign/accidents/E.<init> - String - ""事故报告"""
"""Major""",com/fs/starfarer/campaign/accidents/E,"""重要""","com/fs/starfarer/campaign/accidents/E.<init> - String - ""重要"""
"""Critical""",com/fs/starfarer/campaign/accidents/E,"""紧急""","com/fs/starfarer/campaign/accidents/E.<init> - String - ""紧急"""
"""Severity:""",com/fs/starfarer/campaign/accidents/E,"""程度:""","com/fs/starfarer/campaign/accidents/E.<init> - String - ""程度:"""
"""Likely cause:""",com/fs/starfarer/campaign/accidents/E,"""原因:""","com/fs/starfarer/campaign/accidents/E.<init> - String - ""原因:"""
"""Recommendation:""",com/fs/starfarer/campaign/accidents/E,"""建议:""","com/fs/starfarer/campaign/accidents/E.<init> - String - ""建议:"""
"""Your command staff produced an incorrect set of logistical support requirements, causing some routine maintenance tasks to be left undone and resulting in""",com/fs/starfarer/campaign/accidents/F,"""您的人员安排不正确使得后勤不能有效支持, 导致一些常规的维护任务将被撤销""","com/fs/starfarer/campaign/accidents/OOoO.new - String - ""您的人员安排不正确使得后勤不能有效支持, 导致一些常规的维护任务将被撤销"""
"""Important maintenance tasks were left undone in a coordination mixup, causing """,com/fs/starfarer/campaign/accidents/F,"""重要的维修任务由于安排错误被取消, 造成 ""","com/fs/starfarer/campaign/accidents/OOoO.new - String - ""重要的维修任务由于安排错误被取消, 造成 """
"""a spot failure of a ship's artificial gravity generator and resulting ina life support system malfunction and resulting in""",com/fs/starfarer/campaign/accidents/F,"""一艘舰船的人工重力发生器出现故障, 造成生命维持系统故障""","com/fs/starfarer/campaign/accidents/OOoO.new - String - ""一艘舰船的人工重力发生器出现故障, 造成生命维持系统故障"""
"""a brief shutdown of a ship's reactor containment field and resulting in""",com/fs/starfarer/campaign/accidents/F,"""并导致一搜舰船反应堆的安全壳被暂时关闭""","com/fs/starfarer/campaign/accidents/OOoO.new - String - ""并导致一搜舰船反应堆的安全壳被暂时关闭"""
"""a flicker in a ship's fore radiation screens and resulting in""",com/fs/starfarer/campaign/accidents/F,"""导致舰船出现辐射泄漏""","com/fs/starfarer/campaign/accidents/OOoO.new - String - ""导致舰船出现辐射泄漏"""
"""Critical maintenance tasks were left undone in a coordination mixup, causing """,com/fs/starfarer/campaign/accidents/F,"""关键维修任务没有及时完成, 造成 ""","com/fs/starfarer/campaign/accidents/OOoO.new - String - ""关键维修任务没有及时完成, 造成 """
"""a temporary failure of a ship's artificial gravity generator and resulting ina major life support system malfunction and resulting in""",com/fs/starfarer/campaign/accidents/F,"""船上的人造重力产生的临时故障, 并造成了重大的生命支持系统出现故障""","com/fs/starfarer/campaign/accidents/OOoO.new - String - ""船上的人造重力产生的临时故障, 并造成了重大的生命支持系统出现故障"""
"""a shutdown of a ship's reactor containment field and resulting in""",com/fs/starfarer/campaign/accidents/F,"""导致舰船的反应堆安全壳关闭""","com/fs/starfarer/campaign/accidents/OOoO.new - String - ""导致舰船的反应堆安全壳关闭"""
"""the fore radiation screens of a ship to shut off and resulting in""",com/fs/starfarer/campaign/accidents/F,"""并导致舰船由于严重辐射并切断联系""","com/fs/starfarer/campaign/accidents/OOoO.new - String - ""并导致舰船由于严重辐射并切断联系"""
"""An unknown accident occurred, resulting in""",com/fs/starfarer/campaign/accidents/F,"""发生不明事故, 导致""","com/fs/starfarer/campaign/accidents/OOoO.new - String - ""发生不明事故, 导致"""
"""Fleet too large for command ability""",com/fs/starfarer/campaign/accidents/F,"""舰队数量超过指挥能力""","com/fs/starfarer/campaign/accidents/OOoO.new - String - ""舰队数量超过指挥能力"""
"""Scuttle excess ships, or increase your command rating to be able to control a larger fleet effectively""",com/fs/starfarer/campaign/accidents/F,"""自毁多余舰船, 或提高你的指挥等级才能够有效控制更大的舰队""","com/fs/starfarer/campaign/accidents/OOoO.Ô00000 - String - ""自毁多余舰船, 或提高你的指挥等级才能够有效控制更大的舰队"""
"""A lack of maintenance and the consequent lack of combat readiness has caused an accident that has resulted in """,com/fs/starfarer/campaign/accidents/H,"""因缺乏维修与战备值 (CR) 不足而""","com/fs/starfarer/campaign/accidents/null.o00000 - String - ""因缺乏维修与战备值 (CR) 不足而"""
"""0% combat readiness""",com/fs/starfarer/campaign/accidents/H,"""0% 战备值 (CR) ""","com/fs/starfarer/campaign/accidents/null.new - String - ""0% 战备值 (CR) """
"""Take steps to restore the combat readiness of your ships as soon as possible. Ships at zero combat readiness continue to be in danger of suffering accidents, unless they're already being repaired.""",com/fs/starfarer/campaign/accidents/H,#N/A,#N/A
"""lost cargo""",com/fs/starfarer/campaign/accidents/if,"""失去货物""","com/fs/starfarer/campaign/accidents/if.o00000 - String - ""失去货物"""
"""a loss of cargo""",com/fs/starfarer/campaign/accidents/if,"""损失货物""","com/fs/starfarer/campaign/accidents/if.o00000 - String - ""损失货物"""
"""lost cargo""",com/fs/starfarer/campaign/accidents/if,"""失去货物""","com/fs/starfarer/campaign/accidents/if.o00000 - String - ""失去货物"""
"""a loss of cargo""",com/fs/starfarer/campaign/accidents/if,"""损失货物""","com/fs/starfarer/campaign/accidents/if.o00000 - String - ""损失货物"""
"""lost supplies""",com/fs/starfarer/campaign/accidents/if,"""失去补给""","com/fs/starfarer/campaign/accidents/if.o00000 - String - ""失去补给"""
"""a loss of supplies""",com/fs/starfarer/campaign/accidents/if,"""损失补给""","com/fs/starfarer/campaign/accidents/if.o00000 - String - ""损失补给"""
"""lost marines""",com/fs/starfarer/campaign/accidents/if,"""失去陆战队""","com/fs/starfarer/campaign/accidents/if.new - String - ""失去陆战队"""
"""a loss of marines""",com/fs/starfarer/campaign/accidents/if,"""损失陆战队""","com/fs/starfarer/campaign/accidents/if.new - String - ""损失陆战队"""
"""lost crew""",com/fs/starfarer/campaign/accidents/if,"""失去船员""","com/fs/starfarer/campaign/accidents/if.new - String - ""失去船员"""
"""a loss of crew""",com/fs/starfarer/campaign/accidents/if,"""损失船员""","com/fs/starfarer/campaign/accidents/if.new - String - ""损失船员"""
"""lost fuel""",com/fs/starfarer/campaign/accidents/if,"""失去燃料""","com/fs/starfarer/campaign/accidents/if.o00000 - String - ""失去燃料"""
"""a loss of fuel""",com/fs/starfarer/campaign/accidents/if,"""损失燃料""","com/fs/starfarer/campaign/accidents/if.o00000 - String - ""损失燃料"""
"""A lack of supplies to perform routine maintenance caused an accident that resulted in""",com/fs/starfarer/campaign/accidents/L,"""缺乏补给进行日常维护而导致事故""","com/fs/starfarer/campaign/accidents/L.Ô00000 - String - ""缺乏补给进行日常维护而导致事故"""
"""A lack of supplies to perform priority maintenance caused an accident that resulted in""",com/fs/starfarer/campaign/accidents/L,"""缺乏补给进行重点维护而导致事故""","com/fs/starfarer/campaign/accidents/L.Ô00000 - String - ""缺乏补给进行重点维护而导致事故"""
"""A lack of supplies to perform emergency maintenance caused an accident that resulted in""",com/fs/starfarer/campaign/accidents/L,"""缺乏补给进行急救维修而导致事故""","com/fs/starfarer/campaign/accidents/L.Ô00000 - String - ""缺乏补给进行急救维修而导致事故"""
"""Lack of supplies""",com/fs/starfarer/campaign/accidents/L,"""缺少补给""","com/fs/starfarer/campaign/accidents/L.new - String - ""缺少补给"""
"""Procure additional supplies, or scuttle one of your ships for supplies if no better means are available""",com/fs/starfarer/campaign/accidents/L,"""获得更多补给,}或在绝境中自毁你的一艘船来获得补给.""","com/fs/starfarer/campaign/accidents/L.Ô00000 - String - ""获得更多补给,}或在绝境中自毁你的一艘船来获得补给."""
"""A makeshift fuel cell""",com/fs/starfarer/campaign/accidents/O0OO,"""临时燃料电池""","com/fs/starfarer/campaign/accidents/D.o00000 - String - ""临时燃料电池"""
"""A valve's magnetic seal""",com/fs/starfarer/campaign/accidents/O0OO,"""阀门的密封""","com/fs/starfarer/campaign/accidents/D.o00000 - String - ""阀门的密封"""
"""A jury-rigged containment field""",com/fs/starfarer/campaign/accidents/O0OO,"""一个临时控制力场""","com/fs/starfarer/campaign/accidents/D.o00000 - String - ""一个临时控制力场"""
""" developed a slow leak""",com/fs/starfarer/campaign/accidents/O0OO,""" 造成缓慢泄漏""","com/fs/starfarer/campaign/accidents/D.o00000 - String - "" 造成缓慢泄漏"""
""" required emergency maintenance""",com/fs/starfarer/campaign/accidents/O0OO,""" 需要紧急维修""","com/fs/starfarer/campaign/accidents/D.o00000 - String - "" 需要紧急维修"""
""" suffered a catastrophic failure""",com/fs/starfarer/campaign/accidents/O0OO,""" 遭遇灾难性的失败""","com/fs/starfarer/campaign/accidents/D.o00000 - String - "" 遭遇灾难性的失败"""
""" collapsed""",com/fs/starfarer/campaign/accidents/O0OO,""" 崩溃了""","com/fs/starfarer/campaign/accidents/D.o00000 - String - "" 崩溃了"""
""" exploded""",com/fs/starfarer/campaign/accidents/O0OO,""" 爆炸了""","com/fs/starfarer/campaign/accidents/D.o00000 - String - "" 爆炸了"""
""" suffered an unknown problem""",com/fs/starfarer/campaign/accidents/O0OO,""" 遭遇未知问题""","com/fs/starfarer/campaign/accidents/D.o00000 - String - "" 遭遇未知问题"""
""", resulting in""",com/fs/starfarer/campaign/accidents/O0OO,""", 导致""","com/fs/starfarer/campaign/accidents/D.o00000 - String - "", 导致"""
"""Fuel capacity exceeded""",com/fs/starfarer/campaign/accidents/O0OO,"""燃料超载""","com/fs/starfarer/campaign/accidents/D.new - String - ""燃料超载"""
"""Dispose of excess fuel, or acquire more ships to increase you fleet's fuel capacity""",com/fs/starfarer/campaign/accidents/O0OO,"""处理掉多余的燃料, 或提高更多的船只去提高你的舰队的燃料容量""","com/fs/starfarer/campaign/accidents/D.Ô00000 - String - ""处理掉多余的燃料, 或提高更多的船只去提高你的舰队的燃料容量"""
"""A makeshift cargo container""",com/fs/starfarer/campaign/accidents/o0oO,"""一个临时的货物箱""","com/fs/starfarer/campaign/accidents/o0oO.Ó00000 - String - ""一个临时的货物箱"""
"""An improvised cargo container""",com/fs/starfarer/campaign/accidents/o0oO,"""一个简易的集装箱""","com/fs/starfarer/campaign/accidents/o0oO.Ó00000 - String - ""一个简易的集装箱"""
"""A jury-rigged cargo container""",com/fs/starfarer/campaign/accidents/o0oO,"""一个临时的集装箱""","com/fs/starfarer/campaign/accidents/o0oO.Ó00000 - String - ""一个临时的集装箱"""
"""'s magnetic coupling has failed, causing a high-speed collision and resulting in""",com/fs/starfarer/campaign/accidents/o0oO,"""磁力联轴器出现故障, 导致出现高速碰撞""","com/fs/starfarer/campaign/accidents/o0oO.Ó00000 - String - ""磁力联轴器出现故障, 导致出现高速碰撞"""
""" depressurized, causing a high-speed collision and resulting in""",com/fs/starfarer/campaign/accidents/o0oO,""" 压力下降, 由于高速碰撞导致""","com/fs/starfarer/campaign/accidents/o0oO.Ó00000 - String - "" 压力下降, 由于高速碰撞导致"""
""" required emergency maintenance, resulting in""",com/fs/starfarer/campaign/accidents/o0oO,""" 需要紧急维修, 导致""","com/fs/starfarer/campaign/accidents/o0oO.Ó00000 - String - "" 需要紧急维修, 导致"""
"""'s magnetic coupling has failed, causing a high-speed collision and resulting in""",com/fs/starfarer/campaign/accidents/o0oO,"""磁力联轴器出现故障, 导致出现高速碰撞""","com/fs/starfarer/campaign/accidents/o0oO.Ó00000 - String - ""磁力联轴器出现故障, 导致出现高速碰撞"""
""" depressurized, scattering high-velocity shrapnel and resulting in""",com/fs/starfarer/campaign/accidents/o0oO,""" 压力下降, 散射高速弹片导致""","com/fs/starfarer/campaign/accidents/o0oO.Ó00000 - String - "" 压力下降, 散射高速弹片导致"""
""" suffered a catastrophic depressurization, scattering high-velocity debris in the path of your fleet and resulting in""",com/fs/starfarer/campaign/accidents/o0oO,""" 灾难性气压下降, 由于散射的高速碎片撞击你的舰队""","com/fs/starfarer/campaign/accidents/o0oO.Ó00000 - String - "" 灾难性气压下降, 由于散射的高速碎片撞击你的舰队"""
""" suffered an unknown problem""",com/fs/starfarer/campaign/accidents/o0oO,""" 遭遇未知问题""","com/fs/starfarer/campaign/accidents/o0oO.Ó00000 - String - "" 遭遇未知问题"""
"""Cargo capacity exceeded""",com/fs/starfarer/campaign/accidents/o0oO,"""货物超载""","com/fs/starfarer/campaign/accidents/o0oO.new - String - ""货物超载"""
"""Makeshift cargo capacity""",com/fs/starfarer/campaign/accidents/o0oO,"""临时货舱""","com/fs/starfarer/campaign/accidents/o0oO.Ó00000 - String - ""临时货舱"""
"""Dispose of excess cargo, or acquire more ships to increase your fleet's cargo capacity""",com/fs/starfarer/campaign/accidents/o0oO,"""处理多余货物, 或用更多的船只来提高你的舰队的货运能力""","com/fs/starfarer/campaign/accidents/o0oO.Ô00000 - String - ""处理多余货物, 或用更多的船只来提高你的舰队的货运能力"""
"""A mix-up at the mini-fac producing dormant fighter chassis""",com/fs/starfarer/campaign/accidents/Object,#N/A,#N/A
"""An error in the CSP schedule, compounded by multiple fighter wings being prepared for duty,""",com/fs/starfarer/campaign/accidents/Object,#N/A,#N/A
"""A fighter wing making an emergency landing to address a fire control malfunction""",com/fs/starfarer/campaign/accidents/Object,#N/A,#N/A
""" resulted in""",com/fs/starfarer/campaign/accidents/Object,#N/A,#N/A
"""Reduce the number of fighters in your fleet, or acquire more ships with hangar space""",com/fs/starfarer/campaign/accidents/Object,#N/A,#N/A
"""damaged fighter wing""",com/fs/starfarer/campaign/accidents/ShipLoss,"""战机联队受损""","com/fs/starfarer/campaign/accidents/ShipLoss.<init> - String - ""战机联队受损"""
"""damage to a """,com/fs/starfarer/campaign/accidents/ShipLoss,"""损坏了 ""","com/fs/starfarer/campaign/accidents/ShipLoss.<init> - String - ""损坏了 """
"""damaged ship""",com/fs/starfarer/campaign/accidents/ShipLoss,"""舰船受损""","com/fs/starfarer/campaign/accidents/ShipLoss.<init> - String - ""舰船受损"""
"""damage to the """,com/fs/starfarer/campaign/accidents/ShipLoss,"""损坏了 ""","com/fs/starfarer/campaign/accidents/ShipLoss.<init> - String - ""损坏了 """
"""lost fighter wing""",com/fs/starfarer/campaign/accidents/ShipLoss,"""战机联队损毁""","com/fs/starfarer/campaign/accidents/ShipLoss.<init> - String - ""战机联队损毁"""
"""a loss of a """,com/fs/starfarer/campaign/accidents/ShipLoss,"""一艘损毁 ""","com/fs/starfarer/campaign/accidents/ShipLoss.<init> - String - ""一艘损毁 """
"""lost ship""",com/fs/starfarer/campaign/accidents/ShipLoss,"""舰船损毁""","com/fs/starfarer/campaign/accidents/ShipLoss.<init> - String - ""舰船损毁"""
"""a loss of the """,com/fs/starfarer/campaign/accidents/ShipLoss,"""损毁了 ""","com/fs/starfarer/campaign/accidents/ShipLoss.<init> - String - ""损毁了 """
"""reduced CR""",com/fs/starfarer/campaign/accidents/ShipLoss,"""降低战备值 (CR) ""","com/fs/starfarer/campaign/accidents/ShipLoss.<init> - String - ""降低战备值 (CR) """
"""reduced CR for """,com/fs/starfarer/campaign/accidents/ShipLoss,"""降低战备值 (CR) ""","com/fs/starfarer/campaign/accidents/ShipLoss.<init> - String - ""降低战备值 (CR) """
"""reduced CR""",com/fs/starfarer/campaign/accidents/ShipLoss,"""降低战备值 (CR) ""","com/fs/starfarer/campaign/accidents/ShipLoss.<init> - String - ""降低战备值 (CR) """
"""reduced CR for the """,com/fs/starfarer/campaign/accidents/ShipLoss,"""降低战备值 (CR) ""","com/fs/starfarer/campaign/accidents/ShipLoss.<init> - String - ""降低战备值 (CR) """
"""lost """,com/fs/starfarer/campaign/accidents/ShipLoss,"""损毁了 ""","com/fs/starfarer/campaign/accidents/ShipLoss.super - String - ""损毁了 """
""" CR""",com/fs/starfarer/campaign/accidents/ShipLoss,""" 战备值 (CR) ""","com/fs/starfarer/campaign/accidents/ShipLoss.super - String - "" 战备值 (CR) """
"""a """,com/fs/starfarer/campaign/accidents/ShipLoss,"""一艘 ""","com/fs/starfarer/campaign/accidents/ShipLoss.super - String - ""一艘 """
""" losing """,com/fs/starfarer/campaign/accidents/ShipLoss,""" 损毁 ""","com/fs/starfarer/campaign/accidents/ShipLoss.super - String - "" 损毁 """
""" CR""",com/fs/starfarer/campaign/accidents/ShipLoss,""" 战备值 (CR) ""","com/fs/starfarer/campaign/accidents/ShipLoss.super - String - "" 战备值 (CR) """
"""lost """,com/fs/starfarer/campaign/accidents/ShipLoss,"""损毁了 ""","com/fs/starfarer/campaign/accidents/ShipLoss.super - String - ""损毁了 """
""" CR""",com/fs/starfarer/campaign/accidents/ShipLoss,""" 战备值 (CR) ""","com/fs/starfarer/campaign/accidents/ShipLoss.super - String - "" 战备值 (CR) """
"""the """,com/fs/starfarer/campaign/accidents/ShipLoss,"""这 ""","com/fs/starfarer/campaign/accidents/ShipLoss.super - String - ""这 """
""" losing """,com/fs/starfarer/campaign/accidents/ShipLoss,""" 损毁 ""","com/fs/starfarer/campaign/accidents/ShipLoss.super - String - "" 损毁 """
""" CR""",com/fs/starfarer/campaign/accidents/ShipLoss,""" 战备值 (CR) ""","com/fs/starfarer/campaign/accidents/ShipLoss.super - String - "" 战备值 (CR) """
""" and """,com/fs/starfarer/campaign/accidents/while,""" 和 ""","com/fs/starfarer/campaign/accidents/N.Ø00000 - String - "" 和 """
""", and """,com/fs/starfarer/campaign/accidents/while,""", 和 ""","com/fs/starfarer/campaign/accidents/N.Ø00000 - String - "", 和 """
"""nothing lost""",com/fs/starfarer/campaign/accidents/while,"""没有损失""","com/fs/starfarer/campaign/accidents/N.Õ00000 - String - ""没有损失"""
"""Minor accident: """,com/fs/starfarer/campaign/accidents/while,"""轻微事故: ""","com/fs/starfarer/campaign/accidents/N.Õ00000 - String - ""轻微事故: """
"""Major accident: """,com/fs/starfarer/campaign/accidents/while,"""灾难事故: ""","com/fs/starfarer/campaign/accidents/N.Õ00000 - String - ""灾难事故: """
"""Critical accident: """,com/fs/starfarer/campaign/accidents/while,"""重大事故: ""","com/fs/starfarer/campaign/accidents/N.Õ00000 - String - ""重大事故: """
"""No accident (""",com/fs/starfarer/campaign/accidents/while,"""没有事故 (""","com/fs/starfarer/campaign/accidents/N.Õ00000 - String - ""没有事故 ("""
"""attack""",com/fs/starfarer/campaign/B/C,"""攻击""","com/fs/starfarer/campaign/OoOO/C.oO0000 - String - ""攻击"""
"""PD""",com/fs/starfarer/campaign/B/C,#N/A,#N/A
"""strike""",com/fs/starfarer/campaign/B/C,"""停机""","com/fs/starfarer/campaign/OoOO/C.oO0000 - String - ""停机"""
"""max hits""",com/fs/starfarer/campaign/B/C,"""最大命中""","com/fs/starfarer/campaign/OoOO/C.oO0000 - String - ""最大命中"""
"""shields""",com/fs/starfarer/campaign/B/C,#N/A,#N/A
"""move""",com/fs/starfarer/campaign/B/C,"""移动""","com/fs/starfarer/campaign/OoOO/C.oO0000 - String - ""移动"""
"""maneuver""",com/fs/starfarer/campaign/B/C,"""转向速度""","com/fs/starfarer/campaign/OoOO/C.oO0000 - String - ""转向速度"""
"""decks""",com/fs/starfarer/campaign/B/C,"""甲板""","com/fs/starfarer/campaign/OoOO/C.oO0000 - String - ""甲板"""
"""strength""",com/fs/starfarer/campaign/B/C,"""伤害""","com/fs/starfarer/campaign/OoOO/C.oO0000 - String - ""伤害"""
"""hits %""",com/fs/starfarer/campaign/B/C,"""命中率 %""","com/fs/starfarer/campaign/OoOO/C.oO0000 - String - ""命中率 %"""
"""shields %""",com/fs/starfarer/campaign/B/C,"""护盾 %""","com/fs/starfarer/campaign/OoOO/C.oO0000 - String - ""护盾 %"""
"""Unidentified graphics device detected: """,com/fs/starfarer/campaign/C,"""检测到未识别的图形设备: ""","com/fs/starfarer/campaign/Object.o00000 - String - ""检测到未识别的图形设备: """
""" Series""",com/fs/starfarer/campaign/C,""" 系列""","com/fs/starfarer/campaign/Object.o00000 - String - "" 系列"""
""" series""",com/fs/starfarer/campaign/C,""" 系列""","com/fs/starfarer/campaign/Object.o00000 - String - "" 系列"""
""" OpenGL Engine""",com/fs/starfarer/campaign/C,""" OpenGL 引擎""","com/fs/starfarer/campaign/Object.o00000 - String - "" OpenGL 引擎"""
"""Device name: """,com/fs/starfarer/campaign/C,"""设备名称: ""","com/fs/starfarer/campaign/Object.o00000 - String - ""设备名称: """
"""Dedicated VRAM: """,com/fs/starfarer/campaign/C,"""显存占用: ""","com/fs/starfarer/campaign/Object.o00000 - String - ""显存占用: """
""" MB""",com/fs/starfarer/campaign/C,#N/A,#N/A
"""Maximum VRAM: """,com/fs/starfarer/campaign/C,"""最大显存: ""","com/fs/starfarer/campaign/Object.o00000 - String - ""最大显存: """
""" MB""",com/fs/starfarer/campaign/C,#N/A,#N/A
"""Free VRAM: """,com/fs/starfarer/campaign/C,"""显存剩余: ""","com/fs/starfarer/campaign/Object.o00000 - String - ""显存剩余: """
""" MB""",com/fs/starfarer/campaign/C,#N/A,#N/A
