name,id,tier,rarity,tech/manufacturer,tags,uiTags,base value,unlocked,hidden,hiddenEverywhere,cost_frigate,cost_dest,cost_cruiser,cost_capital,script,desc,short,sModDesc,sprite
Defensive Targeting Array,defensive_targeting_array,2,,,"special, merc, standard",Fighters,3000,,,,2,4,6,10,com.fs.starfarer.api.impl.hullmods.DefensiveTargetingArray,"Standard fighter communication links are re-purposed to provide short-range targeting data.

Increases fighter damage to missiles and other fighters by %s, but makes the fighters unable to leave the vicinity of their ship.","Increases fighter PD damage, reduces fighter roam range to zero.",Extends range of ballistic and energy weapons of the ship's fighters by %s units.,graphics/hullmods/defensive_targeting_array.png
ECCM Package,eccm,2,,,"offensive, defensive, merc, standard",Weapons,2500,,,,5,8,15,20,data.hullmods.ECCMPackage,"Reduces the chance for missiles launched by the ship to be affected by electronic counter-measures and flares by %s.

A CPU core adjunct in each missile increases missile top speed by %s and missile maneuverability by %s, as well as significantly improving the guidance algorithm.

Also reduces the weapon range reduction due to superior enemy Electronic Warfare by %s.","Improves missile speed and guidance, reduces effect of enemy Electronic Warfare.","Fully negates the weapon range reduction, and makes the ship's missiles always ignore flares.",graphics/hullmods/eccm_package.png
ECM Package,ecm,2,,,"offensive, special, merc, standard","Weapons, Support",4000,,,,6,12,18,24,com.fs.starfarer.api.impl.hullmods.ECMPackage,"When deployed in combat, grants %s/%s/%s/%s ECM rating, depending on this ship's hull size.",Increases ship's ECM rating.,,graphics/hullmods/ecm_package.png
Escort Package,escort_package,1,,,"special, weapons, engines, standard","Special, Weapons, Engines",8000,,,,5,7,15,25,com.fs.starfarer.api.impl.hullmods.EscortPackage,"When this ship is within approximately %s su of a larger friendly vessel, increases this ship's maneuverability by %s, and top speed by %s. Also increases ballistic and energy weapon range by %s.

These bonuses are %s for destroyers when the nearby friendly is a capital ship.","Increases maneuverability, top speed, and weapon range when near a larger friendly ship.",Destroyers: reduces the amount of damage taken by shields by %s. No added effect for cruisers.,graphics/hullmods/escort_package.png
Expanded Deck Crew,expanded_deck_crew,1,,,"special, merc, standard",Fighters,4000,,,,5,10,15,25,com.fs.starfarer.api.impl.hullmods.ExpandedDeckCrew,"Reduces the rate at which the fighter replacement rate decreases due to fighter losses by %s, and increases the rate at which it recovers by %s.

Increases the crew required by %s per fighter bay.","Improves fighter replacement rate, increases crew requirements.",,graphics/hullmods/expanded_deck_crew.png
Expanded Magazines,magazines,1,,,"offensive, merc, standard",Weapons,2500,,,,3,5,7,10,data.hullmods.ExpandedMagazines,Increases the ammo capacity or the number of charges for ballistic and energy weapons by %s.,Increases ammo/charges for ballistic and energy weapons.,Increases the ammo/charge regeneration rate for ballistic and energy weapons by %s.,graphics/hullmods/expanded_magazines2.png
Expanded Missile Racks,missleracks,1,,,"offensive, merc, standard",Weapons,5000,,,,8,12,20,30,data.hullmods.ExpandedMissileRacks,Increases the ammo capacity of missile weapons by %s.,Increases missile weapon ammo.,Reduces the rate of fire of missile weapons by %s.,graphics/hullmods/expanded_missile_racks.png
Extended Shields,extendedshieldemitter,1,,,"shields, defensive, merc, standard",Shields,5000,,,,4,8,12,20,data.hullmods.ExtendedShieldEmitter,Increases the shield's coverage by %s degrees.,Increases maximum shield arc.,Increases the shield's coverage by an additional %s degrees.,graphics/hullmods/extended_shields.png
Flux Coil Adjunct,fluxcoil,0,,,"special, merc, standard",Special,4000,TRUE,,,4,8,12,20,data.hullmods.FluxCoilAdjunct,"Increases the ship's flux capacity by %s/%s/%s/%s, depending on hull size. Not as efficient as flux capacitors - most useful when added to a design that already carries the maximum possible number of capacitors.",Increases flux capacity.,"Increases flux capacity by a further %s/%s/%s/%s, making the coil as efficient as adding capacitors.",graphics/hullmods/flux_coil_adjunct.png
Flux Distributor,fluxdistributor,0,,,"special, merc, standard",Special,4000,TRUE,,,4,8,12,20,data.hullmods.FluxDistributor,"Increases the ship's flux dissipation by %s/%s/%s/%s, depending on hull size. Not as efficient as flux vents - most useful when added to a design that already carries the maximum possible number of vents.",Increases flux dissipation.,"Increases flux dissipation by a further %s/%s/%s/%s, making the distributor as efficient as adding vents.",graphics/hullmods/flux_distributor.png
,,,,,,,,,,,,,,,,,,,
Shield Shunt,shield_shunt,1,,,"special, shields, merc, standard","Special, Shields",3000,,,,3,5,7,10,com.fs.starfarer.api.impl.hullmods.ShieldShunt,"Removes the ship's shields. The external emitter nodes are replaced with reinforced plating, increasing the ship's armor by %s.","Removes shields, increases armor.",Increases the ship's armor by an additional %s.,graphics/hullmods/shield_shunt.png
Makeshift Shield Generator,frontshield,0,,,"shields, defensive, standard",Shields,4000,,,,5,10,15,25,data.hullmods.FrontShieldGenerator,"Installs a makeshift, inefficient shield generator on the ship. The shield emitter is locked in a forward-facing position and has a %s degree arc.

The shield generator draws much of its power from engines and reduces the ship's top speed by %s.",Installs basic shields on shieldless ship. Reduces top speed.,,graphics/hullmods/front_shield_generator.png
Missile Autoloader,missile_autoloader,1,,,"offensive, merc, standard",Weapons,6000,,,,8,12,20,30,com.fs.starfarer.api.impl.hullmods.MissileAutoloader,<tooltip created in the script due to sections/other complexity>,Reloads missile weapons in small missile mounts,Increases the post-reload cooldown to %s seconds.,graphics/hullmods/missile_autoloader.png
Hardened Shields,hardenedshieldemitter,3,,,"shields, defensive, merc, standard",Shields,10000,,,,5,10,15,25,data.hullmods.HardenedShieldEmitter,Reduces the amount of damage taken by shields by %s. Also reduces the chance that shields will be pierced by EMP arcs from weapons like the Ion Beam.,Reduces damage taken by shields.,,graphics/hullmods/hardened_shields.png
Hardened Subsystems,hardened_subsystems,0,,,"special, merc, standard",Special,2500,TRUE,,,5,10,15,25,data.hullmods.HardenedSubsystems,"Increases peak operating time for ships that suffer degraded performance from extended deployment by %s.

Also reduces the rate at which combat readiness degrades by %s.","Increases peak time, CR degrades more slowly.",,graphics/hullmods/hardened_subsystems.png
Heavy Armor,heavyarmor,0,,,"defensive, merc, standard",Defenses,2500,,,,8,15,20,40,data.hullmods.HeavyArmor,"Increases the ship's armor by %s/%s/%s/%s points, depending on hull size.",Increases armor.,Reduces the ship's maneuverability by %s.,graphics/hullmods/heavy_armor.png
High Scatter Amplifier,high_scatter_amp,3,,,"offensive, merc, standard",Weapons,5000,,,,4,8,12,20,com.fs.starfarer.api.impl.hullmods.HighScatterAmp,<tooltip created in the script due to sections>,Reduces beam range; beams deal more damage and apply hard flux to shields.,Increases beam weapon damage by an additional %s.,graphics/hullmods/high_scatter_amp.png
Integrated Point Defense AI,pointdefenseai,3,,,"defensive, merc, standard","Weapons, Defenses",10000,,,,3,6,9,15,data.hullmods.IntegratedPointDefenseAI,"Gives all point-defense weapons the ability to identify - and ignore - decoy flares. In addition, all point-defense weapons get the best possible target leading, regardless of combat readiness, and all damage to missiles is increased by %s. ","PD unaffected by decoy flares, improved target leading, more damage to missiles.","All small non-missile, non-strike weapons are classified as ""point-defense"", automatically target missiles, and are affected by point-defense stat modifiers.",graphics/hullmods/integrated_point_defense_ai.png
#Point Defense Integration,pdintegration,3,,,"defensive, merc","Weapons, Defenses",10000,,,,12,15,18,24,com.fs.starfarer.api.impl.hullmods.PDIntegration,"Reduces the ordnance point cost of small point-defense weapons by %s. The cost reduction only affects weapons that have PD capability as a feature of the weapon itself, and not when it's gained through other means such as from a hullmod.

In addition, all point-defense weapons deal %s more damage to all targets.","Reduces ordnance point cost of small PD weapons, increases all PD damage.",,graphics/hullmods/integrated_point_defense_ai.png
Integrated Targeting Unit,targetingunit,3,,,"offensive, merc, standard",Weapons,10000,,,,4,8,15,25,data.hullmods.IntegratedTargetingUnit,"Extends the range of ballistic and energy weapons by %s/%s/%s/%s, depending on hull size. Can not work in conjunction with Dedicated Targeting Core.

Most combat ships install either an Integrated Targeting Unit or a Dedicated Targeting Core, with the exception of more specialized variants.","Increases weapon range, more so for larger ships.",,graphics/hullmods/integrated_targeting_unit.png
Nav Relay,nav_relay,2,,,"engines, special, merc, standard","Engines, Support",5000,,,,10,15,20,25,com.fs.starfarer.api.impl.hullmods.NavRelay,"When deployed in combat, increases nav rating of your fleet by %s/%s/%s/%s, depending on this ship's hull size.

The total nav rating of your fleet increases the top speed of your deployed ships.",Increases top speed of deployed ships.,,graphics/hullmods/nav_relay.png
Neural Interface,neural_interface,3,,,"special, no_build_in, no_drop, no_drop_salvage",Special,10000,,,,3,6,9,15,com.fs.starfarer.api.impl.hullmods.NeuralInterface,"Links the flagship with another ship, allowing both ships to %s at the same time. As with ""transfer command"", some skill effects - such as those increasing ammo capacity, or combat readiness - do not apply to the other ship.

Also enables rapid switching between the linked ships without using a shuttle pod. The transfer is instant if the combined deployment points of the ships are %s or less. The destination ship must not be under the command of an officer or an AI core.","Allows rapid switching between ships, resets system cooldown and adds a charge.",,graphics/hullmods/neural_interface.png
Neural Integrator,neural_integrator,,,,"special, no_build_in, no_drop, no_drop_salvage",Special,10000,,,,3,6,9,15,com.fs.starfarer.api.impl.hullmods.NeuralIntegrator,"An augmented version of Neural Interface that works with automated ships by enabling direct control of all of the ship's systems via the link and allowing both ships to %s at the same time. As with ""transfer command"", some skill effects - such as those increasing ammo capacity, or combat readiness - do not apply to the other ship.

Also enables rapid switching between the linked ships without using a shuttle pod. The transfer is instant if the combined deployment points of the ships are %s or less. The destination ship must not be under the command of an officer or an AI core.

The complexity of the modifications increases the ship's deployment points and supply cost to recover from deployment by %s.",Specialized Neural Interface for automated ships.,,graphics/hullmods/neural_integrator.png
Shield Conversion - Front,frontemitter,2,,,"shields, defensive, merc, standard",Shields,7000,,,,3,5,8,12,data.hullmods.FrontShieldEmitter,"Locks the ship's omni-directional shield emitter to a front-facing position and extends its arc by %s. As with all frontal emitters, the shield will also deploy twice as quickly.","Converts omni shield to front, extends arc.",Reduces the amount of damage taken by shields by %s.,graphics/hullmods/front_shield_emitter.png
Shield Conversion - Omni,adaptiveshields,3,,,"shields, defensive, merc, standard",Shields,7000,,,,3,5,8,12,data.hullmods.OmniShieldEmitter,Converts frontal shields to omni-directional. Reduces the shield's arc by %s.,"Converts front shield to omni, reduces arc.",Negates the shield arc penalty.,graphics/hullmods/omni_shield_emitter_mod.png
Operations Center,operations_center,1,,,special,Special,5000,,,,30,30,30,30,com.fs.starfarer.api.impl.hullmods.OperationsCenter,Increases the command point recovery rate by %s when installed on the flagship.,Increases command point recovery rate when on flagship.,,graphics/hullmods/operations_center.png
Phase Anchor,phase_anchor,3,,,"phase, merc, no_build_in, standard, phase_brawler",Phase,7000,,,,10,20,30,50,com.fs.starfarer.api.impl.hullmods.PhaseAnchor,"Reduces the phase cloak's activation cost to %s. Increases the soft flux dissipation and weapon recharge rate by %s while phased.

When suffering critical damage that would otherwise destroy or disable the ship, able to initiate an emergency dive deep into p-space. The ship counts as retreated and will emerge into normal space when combat is over, suffering an additional penalty to combat readiness equal to %s its deployment cost. The ship must have enough combat readiness to cover this cost to initiate the dive.

Due to the immense distortions in p-space caused by such a maneuver, only one ship per battle - regardless of which side it's on - is able to perform it.","Increases flux dissipation and weapon recharge while phased, emergency dive maneuver.",,graphics/hullmods/phase_anchor.png
Recovery Shuttles,recovery_shuttles,1,,,"special, standard",Fighters,4000,,,,3,6,9,15,com.fs.starfarer.api.impl.hullmods.RecoveryShuttles,Reduces the casualties suffered by fighter pilots by %s.,Reduces fighter pilot casualties.,Increases the fighter pilot casualty reduction to %s.,graphics/hullmods/recovery_shuttles.png
Reinforced Bulkheads,reinforcedhull,0,,,"defensive, merc, standard",Defenses,2500,TRUE,,,5,10,15,30,data.hullmods.ReinforcedBulkheads,"Increases the ship's hull integrity by %s. If disabled, the ship will not break apart and is almost always recoverable after the battle.",Increases hull integrity; ship almost always recoverable if lost.,,graphics/hullmods/reinforced_bulkheads.png
Resistant Flux Conduits,fluxbreakers,2,,,"defensive, merc, standard","Special, Defenses",7000,,,,3,6,9,15,data.hullmods.FluxBreakers,Decreases the amount of EMP damage taken from weapons such as Ion Cannons by %s. Also increases the ship's flux dissipation rate while venting by %s.,"Reduces EMP damage taken, improves venting speed.",Increases the flux dissipation rate while venting by a further %s.,graphics/hullmods/resistant_flux_conduits.png
Safety Overrides,safetyoverrides,0,,,"special, engines, offensive, merc, no_build_in, standard","Special, Engines",2500,TRUE,,,15,30,45,70,data.hullmods.SafetyOverrides,"Disabling safety protocols increases the ship's top speed in combat by %s/%s/%s (depending on ship size, with a corresponding increase in acceleration) and allows the zero-flux engine boost to take effect regardless of flux level. The flux dissipation rate, including that of additional vents, is increased by a factor of %s.

Reduces the peak performance time by a factor of %s, prevents the use of active venting, and drastically reduces weapon ranges past %s units.

Can not be installed on civilian or capital ships.","Drastic improvement in performance, much lower peak time.",,graphics/hullmods/safety_overrides.png
,,,,,,,,,,,,,,,,,,,
Stabilized Shields,stabilizedshieldemitter,1,,,"shields, defensive, merc, standard",Shields,5000,,,,3,6,9,15,data.hullmods.StabilizedShieldEmitter,Reduces the amount of soft flux raised shields generate per second by %s. Does not affect the hard flux generated as a result of shields taking damage.,Reduces flux upkeep for shields.,Converts %s of the hard flux damage taken by shields to soft flux.,graphics/hullmods/stabilized_shields.png
,,,,,,,,,,,,,,,,,,,
Unstable Injector,unstable_injector,0,,,"engines, merc, standard",Engines,2500,TRUE,,,5,10,15,25,data.hullmods.UnstableInjector,"Increases the ship's top speed in combat by %s/%s/%s/%s su/second, depending on hull size.

Interferes with weapons targeting and other vulnerable systems, reducing non-missile weapon range by %s and increasing the fighter replacement time by %s.","Increases speed, reduces weapon range.",,graphics/hullmods/unstable_injector.png
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
# logistics hullmods,,,,,,,,,,,,,,,,,,,
Additional Berthing,additional_berthing,0,,,"req_spaceport, merc, standard","Logistics, Requires Dock",3000,TRUE,,,5,10,15,25,com.fs.starfarer.api.impl.hullmods.AdditionalBerthing,"Increases maximum crew capacity by %s/%s/%s/%s, depending on hull size, or by %s, whichever is higher.

For civilian-grade hulls, also increases maintenance supply use by %s.",Increases crew capacity.,"Doubles the crew capacity increase and, for civilian hulls, negates the maintenance cost increase.",graphics/hullmods/berthing.png
Augmented Drive Field,augmentedengines,1,,,"req_spaceport, merc, standard","Logistics, Requires Dock",8000,,,,8,16,24,40,data.hullmods.AugmentedEngines,Increases maximum burn level by %s.,Increases maximum burn level.,Increases maximum burn level by a further %s.,graphics/hullmods/augmented_drive_field2.png
Auxiliary Fuel Tanks,auxiliary_fuel_tanks,0,,,"req_spaceport, merc, standard","Logistics, Requires Dock",4000,TRUE,,,5,10,15,25,com.fs.starfarer.api.impl.hullmods.AuxiliaryFuelTanks,"Increases maximum fuel capacity by %s/%s/%s/%s, depending on hull size, or by %s, whichever is higher.

For civilian-grade hulls, also increases maintenance supply use by %s.",Increases fuel capacity.,"Doubles the fuel capacity increase and, for civilian hulls, negates the maintenance cost increase.",graphics/hullmods/fuel_tanks.png
Efficiency Overhaul,efficiency_overhaul,0,,,"req_spaceport, merc, standard","Logistics, Requires Dock",4000,,,,3,6,9,15,com.fs.starfarer.api.impl.hullmods.EfficiencyOverhaul,"Reduces supply use for maintenance, fuel use, and minimum crew required by %s.

Increases the combat readiness recovery and repair rates by %s. The per-day supply consumption for CR recovery is increased to account for the increased recovery rate, but the total supply cost remains the same.",Reduces ongoing costs and enables more deployments.,"Reduces maintenance cost, fuel use, and minimum crew requirement by a further %s.",graphics/hullmods/efficiency.png
Expanded Cargo Holds,expanded_cargo_holds,0,,,"req_spaceport, merc, standard","Logistics, Requires Dock",4000,TRUE,,,5,10,15,25,com.fs.starfarer.api.impl.hullmods.ExpandedCargoHolds,"Increases maximum cargo capacity by %s/%s/%s/%s, depending on hull size, or by %s, whichever is higher.

For civilian-grade hulls, also increases maintenance supply use by %s.",Increases cargo capacity.,"Doubles the cargo capacity increase and, for civilian hulls, negates the maintenance cost increase.",graphics/hullmods/expanded_cargo.png
High Resolution Sensors,hiressensors,2,,,"req_spaceport, merc, standard","Logistics, Requires Dock",9000,,,,4,6,9,15,com.fs.starfarer.api.impl.hullmods.HighResSensors,<Tooltip created in script>,Increases fleet's sensor range.,"Increases the ship's in-combat vision range by %s/%s/%s/%s, based on hull size.",graphics/hullmods/high_res_sensors.png
Insulated Engine Assembly,insulatedengine,0,,,"engines, defensive, req_spaceport, merc, standard","Engines, Logistics, Defenses, Requires Dock",2500,,,,3,6,9,15,data.hullmods.InsulatedEngines,"Increases the durability of the ship's engines by %s, and the ship's hull integrity by %s.

The ship's sensor profile is also reduced by %s.","Makes engines harder to disable, lowers sensor profile.","Increases engine durability by a further %s, and Increases the sensor profile reduction to %s.",graphics/hullmods/insulated_engine_assembly.png
Militarized Subsystems,militarized_subsystems,0,,,"req_spaceport, merc, standard","Special, Logistics, Requires Dock",6000,TRUE,,,4,8,12,20,com.fs.starfarer.api.impl.hullmods.MilitarizedSubsystems,"Removes the penalties from a civilian-grade hull, and increases maximum burn level by %s.

Increases minimum crew required by %s.","Removes sensor penalties, increases maximum burn level, increases crew required.",Negates the increased crew requirements.,graphics/hullmods/militarized_subsystems.png
Solar Shielding,solar_shielding,2,,,"defensive, req_spaceport, merc, standard","Defenses, Logistics, Requires Dock",5000,,,,3,6,9,15,data.hullmods.SolarShielding,"Originally developed by Diktat engineers after spending cycles dealing with the unique conditions of the inner Askonia system. Decreases the effect operating in a solar corona has on combat readiness by %s; also has the same effect against storms in deep hyperspace.

In combat, reduces energy damage taken by %s.",Reduces effect of being in corona and energy damage taken.,Increases the protection from solar coronae and similar hazards to %s.,graphics/hullmods/solar_shielding2.png
Surveying Equipment,surveying_equipment,1,,,"special, req_spaceport, standard","Logistics, Requires Dock",5000,,,,5,10,15,25,data.hullmods.SurveyingEquipment,"Reduces the heavy machinery and supplies required to perform surveys by %s/%s/%s/%s depending on hull size, down to a minimum of %s for each.",Reduces resource requirements for surveying.,Increases the survey cost reduction by %s.,graphics/hullmods/surveying_equipment.png
,,,,,,,,,,,,,,,,,,,
# standard built-in hullmods,,,,,,,,,,,,,,,,,,,
Terminator Core,terminator_core,,,,,,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.TerminatorCore,"Used by the terminator drone, this text should not be visible to the player.",,,graphics/hullmods/terminator_core.png
Shared Flux Sink,shared_flux_sink,,,,,,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.SharedFluxSink,"Handles %s of the flux dissipation of all attached modules. If modules are lost during battle, the extra flux dissipation is redistributed among the remaining modules. Up to %s of this extra dissipation applies to hard flux.",Flux/hard flux dissipation bonus as modules are lost.,,graphics/hullmods/shared_flux_sink.png
Stealth Minefield,stealth_minefield,,,,,,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.StealthMinefield,Mines attack enemy ships during battle.,Mines attack enemy ships during battle.,,graphics/hullmods/stealth_mines.png
Stealth Minefield,stealth_minefield_lt,,,,,,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.StealthMinefieldLT,Mines attack enemy ships during battle.,Mines attack enemy ships during battle.,,graphics/hullmods/stealth_mines.png
B-Deck,bdeck,,,,,,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.BDeck,"Once per combat, when the fighter replacement rate reaches %s, the fighter launch bays are switched over to operate from a ""B-Deck"".

Standby fighters are launched to rapidly bring the wings back up to full strength, and the fighter replacement rate is set to %s.",Launches fresh wing once per combat and replenishes the replacement rate.,,graphics/hullmods/bdeck.png
Fighter Chassis Storage,chassis_storage,,,,,,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.FighterChassisStorage,Fighter replacement rate does not go down when fighters are lost.,Fighter replacement rate does not go down.,,graphics/hullmods/expanded_deck_crew.png
Shield Always On,shield_always_on,,,,,,,,TRUE,TRUE,0,0,0,0,com.fs.starfarer.api.impl.hullmods.ShieldAlwaysOn,,"Forces shield to stay on. Hidden, doesn't need description or icon.",,graphics/hullmods/hardened_shields.png
Missile Autoforge,missile_reload,,,,,,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.PeriodicMissileReload,An autoforge inside the ship periodically fully reloads the magazines of all missile weapons.,Periodically reloads all missile weapons.,,graphics/hullmods/expanded_missile_racks.png
Shielded Cargo Holds,shielded_holds,2,,,,,,,TRUE,,5,10,15,30,data.hullmods.ShieldedCargoHolds,"Commonly found on ships that can't always rely on shields to protect their cargo from cosmic radiation. Only a few tweaks are needed to have the shielding confound long-range cargo scans, reducing the probability of contraband being detected.",Improves chance to avoid detection of contraband.,,graphics/hullmods/shielded_cargo_hold.png
Salvage Gantry,repair_gantry,,,,,,,,TRUE,,5,10,20,40,com.fs.starfarer.api.impl.campaign.RepairGantry,"Increases the resources gained from salvaging abandoned stations, derelicts, floating hulks, and other such by %s/%s/%s/%s, depending on hull size. Only affects the recovery of common resources such as fuel and supplies, and not rare items like blueprints. In addition, %s of the bonus applies to post-battle salvage.",Increases resources gained from salvage.,,graphics/hullmods/repair_gantry.png
Phase Field,phasefield,,,,,,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.PhaseField,"The ship is able to run a low-grade phase field for extended periods of time, reducing its effective sensor profile by %s.",Reduces fleetwide sensor profile.,,graphics/hullmods/phase_field.png
Flux Shunt,fluxshunt,,,,,,,,TRUE,,10,20,30,50,data.hullmods.FluxShunt,Allows the ship to dissipate hard flux at %s of the normal rate while shields are on.,Allows dissipation of hard flux while shields are up.,,graphics/hullmods/flux_shunt.png
Civilian-grade Hull,civgrade,,,,,,,,TRUE,,0,0,0,0,data.hullmods.CivGrade,Increases sensor profile by %s. Reduces sensor strength by %s.,"Increases sensor profile, reduces sensor strength.",,graphics/hullmods/civilian_grade.png
High Maintenance,high_maintenance,,,,,,,,TRUE,,0,0,0,0,data.hullmods.HighMaintenance,Increases the monthly maintenance supply cost by %s.,Increases maintenance cost.,,graphics/hullmods/high_maintenance.png
Energy Bolt Coherer,coherer,,,,,,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.EnergyBoltCoherer,<tooltip created in the script>,Increases base range of non-beam energy weapons.,,graphics/hullmods/coherer.png
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Monofilament Tow Cable,tow_cable,,,,,,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.campaign.TowCable,"Improves the maximum burn level of the slowest ship in the fleet by 1. Multiple tugs can not be used to speed up the same ship by more than 1.

Can not be used in combat.",Increases burn level of another ship.,,graphics/hullmods/monofilament_cable.png
